"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"VBL",510,512.3,490.5,515.8,493.3,-4.36,9966901,4959729275.62,"30-Apr-2026"
"KOTAKBANK",389.75,389.75,380.7,396.75,381.25,-3.91,34163888,13093651714.88,"14-Jan-2026"
"MCX",2800,2805,2715,2814,2727,-3.09,3744659,10314288749.6,"02-Jan-2026"
"NBCC",103,103.01,99.1,102.36,99.54,-2.75,11917167,1195768536.78,"25-Feb-2026"
"BANKINDIA",143.64,144.61,139.4,144.05,140.25,-2.64,12694256,1794206143.04,"29-May-2026"
"SUZLON",56.87,57.1,55.01,56.87,55.38,-2.62,73061882,4057856926.28,"03-Sep-2024"
"PREMIERENE",1047,1049.8,1017,1046.8,1022.9,-2.28,1188744,1219235283.6,"08-May-2026"
"ANGELONE",352,352,342.1,352.25,345.1,-2.03,5927377,2049805514.14,"27-Mar-2026"
"BAJAJHLDNG",11111,11148,10787,11079,10865,-1.93,43332,471663186.84,"30-Jun-2026"
"MAXHEALTH",1153.7,1167.9,1130.1,1153.4,1132.2,-1.84,1363461,1567775630.85,"03-Jul-2026"
"AUROPHARMA",1622.5,1630,1586,1620.5,1593.1,-1.69,785998,1262045548.68,"17-Apr-2026"
"TCS",2090,2093,2050.6,2093.5,2059,-1.65,2567365,5293572872.55,"25-May-2026"
"CONCOR",490,491,479.55,488.2,480.35,-1.61,2424804,1175690467.44,"09-Feb-2026"
"INDIANB",792,802.8,785.3,798.95,787,-1.5,1765610,1396262044.1,"10-Jun-2026"
"COALINDIA",438.7,440.5,431.25,438.7,432.35,-1.45,5464461,2378625228.69,"18-Feb-2026"
"MOTILALOFS",970,970.05,943.45,968.35,955.5,-1.33,555619,530293885.98,"30-Jan-2026"
"IREDA",128.05,128.54,126.5,128.49,126.78,-1.33,2591703,329172198.03,"02-Apr-2026"
"OFSS",11260,11360,11043,11248,11100,-1.32,121813,1359502513.41,"07-May-2026"
"VMM",120.98,120.98,118.05,120.57,119.05,-1.26,6357710,754723754.1,"-"
"INOXWIND",88.39,88.39,86.45,88,86.9,-1.25,6808572,592277678.28,"29-Jul-2025"
