"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"KPITTECH",604.4,604.4,555.5,671.55,561,-16.46,26085834,14837883237.54,"04-Feb-2026"
"COFORGE",1470.3,1474.5,1362.2,1465.7,1367.9,-6.67,4675747,6548336916.03,"30-Jan-2026"
"TATAELXSI",3769.8,3769.8,3562,3829.7,3584.9,-6.39,1674450,6075373446,"10-Jun-2026"
"SAIL",173.36,173.36,166.31,173.49,166.5,-4.03,18693148,3160076669.4,"08-Sep-2025"
"HCLTECH",1070,1076.5,1030,1071.8,1035.4,-3.4,3819777,4014891209.16,"24-Apr-2026"
"KEI",5454,5485.5,5191.5,5427.5,5251,-3.25,344483,1829290850.75,"28-Jan-2026"
"TECHM",1404.7,1404.7,1355.6,1404.7,1360,-3.18,3793024,5181081132.8,"03-Jul-2026"
"JINDALSTEL",1045.5,1049.3,1024.2,1060.1,1027,-3.12,3331254,3436488313.86,"22-Aug-2025"
"MUTHOOTFIN",2988.4,3004.1,2902.3,2997.3,2911,-2.88,828921,2437176945.78,"17-Apr-2026"
"TATAPOWER",386.25,387.05,374.3,385.5,375.15,-2.68,9752961,3706027650.39,"23-Jun-2026"
"POLYCAB",9979.5,9979.5,9671,9961,9710,-2.52,344920,3370575486,"19-Jun-2026"
"MANAPPURAM",319,322.75,315,324.2,316.15,-2.48,2097573,668832126.78,"11-May-2026"
"MANKIND",2555.9,2570.8,2475.1,2545.6,2482.9,-2.46,211335,530979187.5,"08-Aug-2025"
"TCS",2039.9,2052,1976.8,2031.5,1981.8,-2.45,4658295,9348033491.25,"25-May-2026"
"NHPC",81.33,81.44,79.25,81.33,79.39,-2.39,7502296,600483771.84,"10-Feb-2026"
"WAAREEENER",2954,2954,2866.5,2947,2878,-2.34,775001,2252834906.88,"24-Oct-2025"
"JSWENERGY",583.5,585.25,567.9,583.15,570,-2.25,1999865,1151882242.7,"05-Jun-2026"
"GLENMARK",2196.4,2221.2,2153.1,2204.3,2157.5,-2.12,455357,988844154.06,"03-Oct-2025"
"VEDL",280.75,281,274.65,280.75,275.25,-1.96,15467108,4287791679.76,"30-Apr-2026"
"LICHSGFIN",566,568.5,547.05,564,553,-1.95,1842330,1019140109.4,"22-Aug-2025"
