"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"MANKIND",2426.1,2543.5,2404.1,2414.2,2543,5.34,983998,2462602594.7,"08-Aug-2025"
"DELHIVERY",466.5,491.7,465.3,461.1,484.6,5.1,12506879,6015933867.79,"20-Sep-2023"
"CIPLA",1372,1418.2,1370.6,1351.8,1417,4.82,3368853,4729431661.11,"05-Jun-2026"
"ABCAPITAL",378,392.9,375.05,375.9,392.3,4.36,11010826,4265153559.36,"16-Aug-2018"
"RECLTD",355.35,370.75,355.35,355.35,369.65,4.02,9413420,3453783798,"20-Mar-2026"
"JUBLFOOD",421,435.8,420.3,419,433.4,3.44,4334126,1860640291.8,"18-Jul-2025"
"BHARATFORG",2060,2113.6,2041.7,2041.4,2109,3.31,1846475,3835257828.25,"18-Feb-2026"
"NHPC",75.84,79.48,75.65,75.82,78.29,3.26,50728687,3979158208.28,"10-Feb-2026"
"ADANIGREEN",1509,1555,1490.5,1502.4,1551,3.23,2956240,4518819776.8,"14-Jun-2024"
"MANAPPURAM",322.65,328.8,317.5,318.65,328.35,3.04,4453912,1437945489.2,"11-May-2026"
"IREDA",128,133.19,127.9,127.15,130.99,3.02,12728720,1668480617.6,"02-Apr-2026"
"BDL",1384.7,1414,1371.6,1373.4,1413,2.88,2708566,3771894840.28,"09-Feb-2026"
"MUTHOOTFIN",3169,3227,3136.1,3126.1,3215,2.84,681323,2170701891.23,"17-Apr-2026"
"HAL",4424.1,4528.5,4386,4408.1,4515.5,2.44,1337548,5984644518.32,"18-Feb-2026"
"SOLARINDS",18140,18499,17865,18052,18489,2.42,124061,2258484602.43,"08-Jul-2025"
"IEX",122.78,127.93,122.78,122.78,125.73,2.4,11354470,1433501837.5,"15-May-2026"
"IDFCFIRSTB",78.68,81.46,78.43,78.68,80.55,2.38,44256995,3549853568.95,"11-Jul-2025"
"PFC",433,444.8,430.55,431,440.9,2.3,10050117,4427478543.18,"23-Mar-2026"
"BAJAJHLDNG",10741,10939,10690,10677,10922,2.29,97395,1053246087.15,"30-Jun-2026"
"MCX",2822,2882.7,2822,2803.8,2867.3,2.26,1811097,5176368779.58,"02-Jan-2026"
