"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"BANDHANBNK",212.65,213.59,197.5,211.76,202.15,-4.54,31399294,6354275126.78,"14-Aug-2025"
"NATIONALUM",340,342.2,331.4,348.55,333,-4.46,27955221,9384288137.49,"08-May-2026"
"HINDZINC",528,531.1,516.85,541.95,518.85,-4.26,7705339,4028659442.76,"30-Apr-2026"
"TIINDIA",3178.2,3189.8,3038.6,3170.5,3060,-3.49,478378,1483411907.76,"07-Aug-2026"
"MUTHOOTFIN",3118.1,3125,3018.2,3129.9,3023.7,-3.39,1615791,4964744058.24,"17-Apr-2026"
"DELHIVERY",481.05,482.7,464.05,481.05,464.9,-3.36,2797129,1315265998.38,"20-Sep-2023"
"VEDL",279,279,271.4,282.55,273.4,-3.24,39094966,10718275878.56,"30-Apr-2026"
"SUPREMEIND",3549.5,3549.7,3406.9,3560.4,3423.7,-3.16,546323,1878187452.01,"25-Jun-2026"
"ASTRAL",1532.1,1536,1483.4,1536.7,1490,-3.04,987298,1479426561.08,"11-Nov-2025"
"NAUKRI",1019.5,1019.9,976.3,1009.8,980,-2.95,4379956,4398045218.28,"24-Jul-2026"
"KEI",5440,5466.5,5230,5419,5261,-2.92,574864,3067232861.12,"28-Jan-2026"
"OIL",416.3,418.45,404.1,418.05,405.95,-2.89,6484082,2657565848.52,"18-Feb-2026"
"ONGC",240.8,240.8,232.1,240,233.15,-2.85,36085563,8491654685.16,"18-Feb-2026"
"AUBANK",1079.15,1079.2,1031.4,1067.2,1038.8,-2.66,2267362,2375424472.92,"04-Jul-2025"
"JINDALSTEL",1089.7,1093,1056.3,1089.7,1061,-2.63,3101359,3338985126.58,"22-Aug-2025"
"MFSL",1651,1666.4,1608,1662.3,1619,-2.6,644179,1048865131.38,"16-Aug-2024"
"AMBER",7840,7934.5,7632.5,7843.5,7641,-2.58,260704,2032367565.76,"02-Aug-2024"
"HINDALCO",965,970.9,950.2,976.6,952,-2.52,12155741,11660516111.66,"10-Jul-2026"
"PIIND",2769,2788.5,2670,2746.8,2679.9,-2.44,490261,1343427900.03,"23-Feb-2026"
"SOLARINDS",17864,18041,17344,17864,17431,-2.42,104509,1847911416.56,"08-Jul-2025"
