"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"YESBANK",22.23,23.95,22.07,22.3,23.48,5.29,234434941,5459989775.89,"03-Jun-2019"
"INDUSTOWER",372,390.85,372,372,388,4.3,16705183,6427820314.74,"10-Aug-2026"
"PAYTM",1745,1840,1726.8,1739,1807.5,3.94,9268399,16626951702.06,"-"
"WAAREEENER",2543.3,2635,2515.1,2548,2625,3.1,1066696,2753611722.24,"11-Sep-2026"
"BLUESTARCO",1500,1565.1,1489,1514,1558,2.91,1336241,2065454438.52,"17-Jul-2026"
"ANGELONE",295,307.4,289.05,297.3,305,2.59,5939255,1769957382.55,"21-Jul-2026"
"BSE",3280,3394.4,3193.2,3306,3384,2.36,4316719,14051395184.09,"10-Jul-2026"
"HDFCBANK",683.9,709,681.9,693.8,708.25,2.08,31400075,21769357996.75,"19-Jun-2026"
"DRREDDY",1130,1182,1130,1143,1165.5,1.97,2403167,2804688142.36,"10-Jul-2026"
"LICHSGFIN",546,572.35,546,552.3,562.9,1.92,11553311,6497351040.18,"21-Aug-2026"
"MANKIND",2237.2,2280,2222,2238.4,2280,1.86,530670,1196782904.1,"08-Aug-2025"
"SAGILITY",44.25,45.5,43.47,44.41,45.2,1.78,24406336,1089498839.04,"07-Aug-2026"
"VBL",406.8,417.15,403,410.5,416.5,1.46,9718149,4006695651.21,"31-Jul-2026"
"BANDHANBNK",171.75,178.54,170.85,174,176.52,1.45,25321833,4455882953.01,"17-Aug-2026"
"BAJAJHLDNG",10990,11146,10922,10992,11134,1.29,49906,552027733.1,"30-Jun-2026"
"LAURUSLABS",1943,1981.8,1918.1,1945,1969,1.23,2277186,4466563707.84,"08-May-2026"
"PHOENIXLTD",1876,1910,1825.1,1890,1910,1.19,723014,1359100026.78,"11-Sep-2026"
"MOTILALOFS",1003.3,1030.7,988,1015,1026.5,1.13,624830,631746868.1,"30-Jan-2026"
"TECHM",1519.3,1557.3,1518.6,1525.8,1541,1,2007037,3098122524.31,"03-Jul-2026"
"LUPIN",2064,2108.5,2058,2077.8,2095,0.83,621860,1299973455.6,"17-Jul-2026"
