SYMBOL,PREV. CLOSE,BEST BID QTY,BEST BID PRICE,BEST ASK PRICE,BEST ASK QTY,INDICATIVE EQUILIBRIUM QUANTITY,INDICATIVE EQUILIBRIUM PRICE,CHANGE,%CHANGE,FINAL PRICE,FINAL VOLUME,VALUE (₹ Crores),FFM CAP (₹ Crores),INDICATIVE IMBALANCE QUANTITY AT EQUILIBRIUM PRICE,INDICATIVE IMBALANCE QUANTITY AT MARKET ORDER,52 WEEK HIGH,52 WEEK LOW
HDFCBANK,"693.80","1,214","683.80","683.90","90,302","-","-","-9.90","-1.43","683.90","9,16,888","62.71","10,45,248.95","-","-","1,020.50","686.20"
RELIANCE,"1,274.00","25","1,266.90","1,267.00","16,358","-","-","-7.00","-0.55","1,267.00","90,665","11.49","8,53,545.13","-","-","1,611.80","1,249.80"
BHARTIARTL,"1,839.00","1","1,831.10","1,832.00","1,640","-","-","-7.00","-0.38","1,832.00","58,333","10.69","5,68,950.10","-","-","2,174.50","1,740.50"
IDEA,"14.90","1,019","15.07","15.08","1,29,024","-","-","0.18","1.21","15.08","63,43,689","9.57","41,400.49","-","-","15.79","7.29"
ICICIBANK,"1,384.50","10,140","1,371.60","1,372.10","11","-","-","-12.90","-0.93","1,371.60","47,095","6.46","9,80,395.94","-","-","1,480.00","1,187.60"
INFY,"1,036.50","7,416","1,032.00","1,032.30","2","-","-","-4.50","-0.43","1,032.00","56,466","5.83","3,61,048.63","-","-","1,728.00","982.40"
ONGC,"237.27","36,622","239.90","239.95","2,433","-","-","2.63","1.11","239.90","2,28,821","5.49","92,928.42","-","-","307.50","227.65"
MCX,"3,300.00","4,188","3,326.00","3,328.00","25","-","-","26.00","0.79","3,326.00","15,382","5.12","84,611.41","-","-","3,480.00","1,505.20"
M&M,"3,123.80","50","3,108.00","3,110.00","1,254","-","-","-13.80","-0.44","3,110.00","15,678","4.88","2,76,877.73","-","-","3,839.90","2,896.00"
PAYTM,"1,739.00","9,992","1,745.00","1,746.00","55","-","-","6.00","0.35","1,745.00","25,223","4.40","73,407.50","-","-","1,758.90","930.60"
BSE,"3,306.00","408","3,280.00","3,281.40","3","-","-","-26.00","-0.79","3,280.00","12,776","4.19","1,33,658.61","-","-","4,446.80","2,021.50"
TATASTEEL,"186.78","71,681","184.00","184.15","50","-","-","-2.78","-1.49","184.00","2,15,972","3.97","1,51,670.47","-","-","224.40","160.06"
COFORGE,"1,833.10","753","1,807.30","1,808.00","1","-","-","-25.80","-1.41","1,807.30","21,648","3.91","62,761.95","-","-","2,021.20","1,008.10"
ATHERENERG,"1,658.30","5","1,656.10","1,657.00","877","-","-","-1.30","-0.08","1,657.00","20,930","3.47","32,642.25","-","-","1,744.00","522.05"
HINDPETRO,"352.65","9","346.40","346.50","82,531","-","-","-6.15","-1.74","346.50","90,307","3.13","33,181.32","-","-","508.45","316.20"
HINDALCO,"1,014.00","821","990.00","992.00","3,000","-","-","-24.00","-2.37","990.00","29,931","2.96","1,42,941.13","-","-","1,176.00","731.95"
VEDL,"269.05","2","263.95","264.00","8,236","-","-","-5.05","-1.88","264.00","1,07,498","2.84","44,643.24","-","-","795.00","249.70"
SBIN,"1,009.70","3,626","1,000.00","1,001.00","125","-","-","-9.70","-0.96","1,000.00","28,075","2.81","4,12,195.28","-","-","1,234.70","810.40"
LICHSGFIN,"552.30","28,533","546.00","547.60","719","-","-","-6.30","-1.14","546.00","50,975","2.78","16,369.97","-","-","598.20","458.90"
TCS,"2,204.10","4","2,185.50","2,186.00","50","-","-","-18.60","-0.84","2,185.50","12,601","2.75","2,22,510.69","-","-","3,350.00","1,976.80"
HINDZINC,"593.60","5","575.20","575.40","2,672","-","-","-18.15","-3.06","575.45","45,003","2.59","27,596.34","-","-","733.00","430.75"
INDIGO,"4,945.00","114","4,871.00","4,875.00","75","-","-","-70.00","-1.42","4,875.00","5,257","2.56","1,10,041.94","-","-","5,970.00","3,895.20"
BEL,"405.00","36","402.50","402.55","125","-","-","-2.40","-0.59","402.60","57,918","2.33","1,43,795.93","-","-","473.45","373.05"
BAJFINANCE,"1,043.50","854","1,031.00","1,033.00","80","-","-","-12.50","-1.20","1,031.00","22,272","2.30","2,75,558.20","-","-","1,176.40","787.90"
OIL,"500.30","2,046","508.00","508.05","4,380","-","-","7.70","1.54","508.00","40,032","2.03","27,628.98","-","-","531.00","390.00"
APOLLOHOSP,"8,900.00","309","8,806.00","8,850.00","50","-","-","-94.00","-1.06","8,806.00","2,220","1.95","90,369.17","-","-","9,050.00","6,696.50"
ETERNAL,"322.10","20","317.90","317.95","18,717","-","-","-4.15","-1.29","317.95","55,647","1.77","2,29,219.82","-","-","368.45","212.60"
LT,"3,955.00","890","3,926.00","3,927.80","200","-","-","-29.00","-0.73","3,926.00","4,259","1.67","4,58,274.39","-","-","4,440.00","3,288.10"
POWERGRID,"271.75","37","269.80","269.90","6,225","-","-","-1.80","-0.66","269.95","59,786","1.61","1,21,906.44","-","-","324.95","250.00"
BPCL,"303.00","25","299.30","299.40","1,405","-","-","-3.60","-1.19","299.40","53,487","1.60","60,509.44","-","-","391.65","266.60"
DIXON,"13,500.00","112","13,300.00","13,320.00","1","-","-","-200.00","-1.48","13,300.00","1,135","1.51","55,074.70","-","-","18,471.00","9,600.00"
MUTHOOTFIN,"2,841.50","655","2,790.00","2,793.60","6","-","-","-51.50","-1.81","2,790.00","5,151","1.44","29,836.59","-","-","4,149.50","2,671.00"
