"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"COCHINSHIP",1510,1510,1372,1520.4,1381,-9.17,6385040,8973152113.6,"03-Feb-2026"
"GODREJPROP",1855,1855,1719,1872,1748,-6.62,2683753,4693722971.82,"28-Jul-2026"
"PIIND",2350,2365,2191,2365,2259,-4.48,1124684,2537961914.4,"07-Aug-2026"
"SUPREMEIND",3499.1,3499.1,3364.4,3510,3364.4,-4.15,130082,442665143.54,"25-Jun-2026"
"LODHA",1145.7,1145.8,1075.5,1163.4,1116.9,-4,4191801,4602597498,"07-Aug-2026"
"NATIONALUM",365,365,352.35,373.35,361,-3.31,6558697,2349981135.1,"24-Aug-2026"
"ASTRAL",1452,1456,1402.5,1459,1411.4,-3.26,872039,1233568928.62,"14-Aug-2026"
"HINDALCO",990,992.8,973.1,1014,981.5,-3.21,4754278,4680253891.54,"10-Jul-2026"
"JSWSTEEL",1281,1286.9,1265,1304,1265,-2.99,1580665,2017292092.95,"07-Jul-2026"
"PRESTIGE",1530.5,1530.8,1467.2,1543.6,1498,-2.95,746577,1109323832.76,"13-Aug-2026"
"HINDZINC",575.45,583.3,565.55,593.6,576.45,-2.89,7157750,4119643012.5,"30-Apr-2026"
"OBEROIRLTY",1775.7,1780,1714.8,1792,1741.1,-2.84,543178,941175384.16,"23-Jul-2026"
"NMDC",83.79,83.79,82.25,84.6,82.4,-2.6,9227454,763664093.04,"13-Feb-2026"
"FORCEMOT",18000,18048,17630,18175,17705,-2.59,65120,1156076662.4,"09-Sep-2026"
"SAIL",182.43,182.43,178.65,183.75,179,-2.59,8751533,1573613148.73,"08-Sep-2025"
"IEX",115.88,115.91,113,116.63,113.88,-2.36,6644074,755763417.5,"15-May-2026"
"GODFRYPHLP",1965.8,1965.8,1921.2,1972,1927,-2.28,229138,443604293.86,"11-Aug-2026"
"LTM",4300,4366.8,4275,4374,4275,-2.26,349056,1504085794.56,"25-May-2026"
"EICHERMOT",7600,7633,7530,7697,7530,-2.17,444109,3367083440.94,"31-Jul-2026"
"OIL",508,511.95,485.4,500.3,489.8,-2.1,5272886,2623998989.04,"04-Sep-2026"
