"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"KEI",5000,5028,4820,5327,4850,-8.95,2381568,11729984501.76,"28-Jan-2026"
"POLYCAB",8500,8500,8250,8807.5,8300,-5.76,1559741,13025475078.05,"19-Jun-2026"
"HAVELLS",1178,1178,1149.7,1200,1154,-3.83,2840527,3291886740.3,"22-May-2026"
"ATHERENERG",1644,1644.5,1560.9,1638.9,1584,-3.35,5585636,8886300025.12,"-"
"SRF",2631.1,2631.1,2532.2,2617,2547,-2.67,352418,901946911.58,"28-Jul-2026"
"HDFCAMC",2511.3,2517.8,2456,2510.8,2458.3,-2.09,844970,2092999139.7,"05-Jun-2026"
"ZYDUSLIFE",1146,1146,1120,1143,1120,-2.01,516768,584159714.88,"24-Jul-2026"
"MPHASIS",2482,2502.7,2417.3,2471,2422,-1.98,160732,393634275.32,"08-Jul-2026"
"HCLTECH",1324.9,1331.4,1291.2,1319,1293.4,-1.94,2210569,2884527276.72,"17-Jul-2026"
"POLICYBZR",1848.2,1866.6,1828.7,1870,1836,-1.82,445054,820283477.94,"-"
"PRESTIGE",1620.1,1646.6,1565.2,1615.2,1587,-1.75,588022,941511425.3,"13-Aug-2026"
"MANKIND",2366.5,2390,2317,2368.8,2327.9,-1.73,122389,286486947.31,"08-Aug-2025"
"INDHOTEL",730,732.95,717.5,732,720,-1.64,1528492,1104167335.88,"23-Jun-2026"
"DIVISLAB",9244,9269,9100,9250,9100,-1.62,250202,2294930306.62,"24-Jul-2026"
"TVSMOTOR",4181.2,4200,4127.8,4200,4133.1,-1.59,424571,1763493859.89,"30-Mar-2026"
"360ONE",1149.1,1156.1,1127.1,1155,1137,-1.56,603451,688260003.54,"27-Apr-2026"
"BHARTIARTL",1868.1,1870.7,1840,1869,1840,-1.55,3614328,6704361580.32,"24-Jul-2026"
"VMM",107,107.39,105.92,107.8,106.14,-1.54,7783965,829926348.3,"-"
"LAURUSLABS",1855,1871.8,1835.2,1868.5,1840,-1.53,1075943,1991193912.95,"08-May-2026"
"UNOMINDA",1258,1260.3,1237.5,1269,1249.7,-1.52,574742,714214641.14,"29-May-2026"
