"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"ANGELONE",295.1,308.35,294.75,286,299.8,4.83,29274355,8825047058.3,"21-Jul-2026"
"APLAPOLLO",2154.6,2281,2150.4,2159.4,2250,4.2,955928,2123699204.08,"08-Sep-2026"
"IDEA",14.53,15.16,14.51,14.48,15.02,3.73,525960563,7868370022.48,"20-Aug-2024"
"SBILIFE",1715,1775,1707.4,1715,1775,3.5,1720166,3022194048.72,"06-Mar-2026"
"MCX",3187.8,3287.4,3165.6,3170.2,3275.4,3.32,2485731,8037834904.29,"28-Aug-2026"
"KAYNES",3487.8,3617.9,3450,3485,3598,3.24,1211084,4300438175.6,"08-Sep-2023"
"BSE",3400,3474,3391.7,3306.1,3409.8,3.14,7975058,27395759740.44,"10-Jul-2026"
"PFC",344.9,357.7,344,345.5,355.6,2.92,19206290,6784814005.4,"27-Aug-2026"
"CROMPTON",227.64,235.47,226.27,226.51,232.4,2.6,4443658,1037149777.2,"24-Jul-2026"
"SWIGGY",269.3,284.4,269.3,269.3,276.1,2.53,184369387,51118256239.62,"-"
"TATASTEEL",184.2,189.9,182.84,184.2,188.79,2.49,36500951,6838088160.34,"12-Jun-2026"
"HYUNDAI",2152,2214.5,2150.7,2152,2205,2.46,531330,1164537214.2,"05-Aug-2026"
"HDFCLIFE",533.7,548,533.3,533.5,546.4,2.42,6016219,3266024808.53,"19-Jun-2026"
"MOTILALOFS",1023,1040.8,1022.8,1012.8,1037,2.39,807197,833673061.6,"30-Jan-2026"
"KALYANKJIL",588.2,604.95,585.3,585.3,598.8,2.31,9662044,5784182640.6,"04-Sep-2025"
"HINDZINC",598,603,592,587.95,601,2.22,4650039,2777840297.82,"30-Apr-2026"
"WAAREEENER",2580,2650,2576.6,2579.9,2635,2.14,547994,1432823471.98,"24-Oct-2025"
"HAL",4831,4936,4817.4,4765.6,4856,1.9,1399667,6851006051.58,"14-Aug-2026"
"PIIND",2415,2509,2410,2419.9,2465,1.86,415878,1029372908.04,"07-Aug-2026"
"PNBHOUSING",1141.1,1195,1141.1,1145.5,1166,1.79,923575,1085394575.75,"31-Jul-2026"
