"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"ADANIENT",2959.9,3142,2935.2,2953.1,3104.7,5.13,5320331,16405879078.22,"12-Jun-2026"
"PAYTM",1677,1758.9,1676.1,1670,1751.5,4.88,8246127,14321296144.71,"-"
"MAXHEALTH",992.7,1040.4,992.2,993,1037.5,4.48,4590947,4733817270.64,"03-Jul-2026"
"ADANIPORTS",1719,1785.9,1706,1710,1775,3.8,5527163,9708682896.02,"12-Jun-2026"
"ADANIPOWER",207.1,216.1,206.5,208.4,214.9,3.12,33216590,7080448324.4,"22-Sep-2025"
"BHEL",422.15,436,421.65,422.15,433.7,2.74,8482631,3655335350.52,"17-Jul-2026"
"CUMMINSIND",5020,5182.5,5020,5040,5170.5,2.59,372928,1918587764.48,"17-Jul-2026"
"COALINDIA",420.85,435.35,419.8,420.25,431,2.56,22788948,9854169004.68,"04-Sep-2026"
"SWIGGY",274,285.55,271.8,275.7,282.75,2.56,23535641,6577740946.68,"-"
"TATASTEEL",184.8,190.26,183.41,184.15,188.75,2.5,45976114,8625118986.4,"12-Jun-2026"
"INOXWIND",75.5,77.62,75.5,75.71,77.39,2.22,18487840,1418756841.6,"29-Jul-2025"
"COCHINSHIP",1528.2,1562,1502.1,1528.2,1556,1.82,1253238,1929259641.96,"03-Feb-2026"
"ADANIGREEN",1290.5,1339.7,1290,1292,1315,1.78,2490428,3292470337.4,"14-Jun-2024"
"CGPOWER",910.7,930.55,910,910.7,926.95,1.78,3454443,3187967266.98,"30-Jan-2026"
"NATIONALUM",372,386,371.65,371.05,377.6,1.77,9138077,3471189929.22,"24-Aug-2026"
"HINDALCO",1013.9,1032.4,1010.7,1009,1026.9,1.77,3255358,3334463199.4,"10-Jul-2026"
"GMRAIRPORT",97.02,98.73,96.26,97,98.65,1.7,11993225,1173057337.25,"05-Sep-2024"
"HINDZINC",595,608.75,593.1,595.5,605.4,1.66,6310982,3807415440.6,"30-Apr-2026"
"CONCOR",502,512.45,499.5,502,510,1.59,1057738,537309749.24,"04-Aug-2026"
"JSWENERGY",526.5,541.7,521.5,526.5,534.8,1.58,2167646,1161706520.78,"05-Jun-2026"
