SYMBOL,PREV. CLOSE,BEST BID QTY,BEST BID PRICE,BEST ASK PRICE,BEST ASK QTY,INDICATIVE EQUILIBRIUM QUANTITY,INDICATIVE EQUILIBRIUM PRICE,CHANGE,%CHANGE,FINAL PRICE,FINAL VOLUME,VALUE (₹ Crores),FFM CAP (₹ Crores),INDICATIVE IMBALANCE QUANTITY AT EQUILIBRIUM PRICE,INDICATIVE IMBALANCE QUANTITY AT MARKET ORDER,52 WEEK HIGH,52 WEEK LOW
RELIANCE,"1,294.90","17,922","1,283.50","1,284.00","52","-","-","-11.40","-0.88","1,283.50","2,03,034","26.06","8,64,660.75","-","-","1,611.80","1,249.80"
BSE,"3,394.00","8","3,301.00","3,302.00","18,055","-","-","-93.00","-2.74","3,301.00","62,788","20.73","1,34,514.35","-","-","4,446.80","2,021.50"
HDFCBANK,"703.00","51","697.95","698.00","50,566","-","-","-5.00","-0.71","698.00","2,83,194","19.77","10,66,798.90","-","-","1,020.50","698.50"
COFORGE,"1,950.00","7,524","1,815.50","1,820.00","18","-","-","-134.50","-6.90","1,815.50","95,320","17.31","63,046.71","-","-","2,021.20","1,008.10"
INFY,"1,082.00","30","1,058.50","1,059.00","24,507","-","-","-23.00","-2.13","1,059.00","1,42,110","15.05","3,70,494.67","-","-","1,728.00","982.40"
BHARTIARTL,"1,844.00","13,295","1,830.50","1,834.80","20","-","-","-13.50","-0.73","1,830.50","79,961","14.64","5,68,484.25","-","-","2,174.50","1,740.50"
BIOCON,"392.30","76,456","394.00","394.30","300","-","-","1.70","0.43","394.00","2,38,494","9.40","28,183.35","-","-","447.15","337.05"
SBIN,"1,008.00","3,236","999.00","1,000.00","181","-","-","-9.00","-0.89","999.00","72,901","7.28","4,11,783.08","-","-","1,234.70","805.60"
ADANIENT,"2,953.10","10","2,959.00","2,959.90","9,000","-","-","6.80","0.23","2,959.90","18,985","5.62","88,613.52","-","-","3,245.00","1,753.00"
ICICIBANK,"1,399.40","2","1,395.70","1,395.90","12,001","-","-","-3.50","-0.25","1,395.90","38,635","5.39","9,97,704.32","-","-","1,480.00","1,187.60"
HAL,"5,031.10","186","5,031.00","5,031.10","695","-","-","-","-","5,031.10","10,594","5.33","95,177.20","-","-","5,149.90","3,479.10"
VBL,"405.70","98,029","396.20","400.00","1,000","-","-","-9.50","-2.34","396.20","1,34,291","5.32","54,023.02","-","-","555.80","381.00"
MCX,"3,342.00","258","3,362.00","3,362.40","2","-","-","20.00","0.60","3,362.00","14,924","5.02","85,527.23","-","-","3,480.00","1,496.00"
HCLTECH,"1,277.00","1","1,248.10","1,248.50","14,091","-","-","-28.20","-2.21","1,248.80","40,010","5.00","1,31,290.87","-","-","1,780.10","1,030.00"
LT,"3,946.10","116","3,935.30","3,939.00","175","-","-","-10.80","-0.27","3,935.30","11,507","4.53","4,59,359.96","-","-","4,440.00","3,288.10"
BAJFINANCE,"1,054.10","2,338","1,045.10","1,047.00","75","-","-","-9.00","-0.85","1,045.10","42,053","4.39","2,79,326.75","-","-","1,176.40","787.90"
