"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"COFORGE",1815.5,1877.6,1780.7,1950,1845,-5.38,10836524,19960118651.32,"03-Aug-2026"
"INFY",1059,1059,1026.5,1082,1035,-4.34,13523332,14041005148.96,"10-Jun-2026"
"LODHA",1203.5,1213.3,1161,1212,1166,-3.8,1556194,1839110069.2,"07-Aug-2026"
"HDFCLIFE",533.7,534.6,508.95,533.8,514,-3.71,9022214,4668815300.72,"19-Jun-2026"
"HCLTECH",1248.8,1264.8,1222.7,1277,1229.8,-3.7,2098285,2592473083.2,"17-Jul-2026"
"TECHM",1531,1531,1498,1559,1508,-3.27,1328666,2003880774.54,"03-Jul-2026"
"TATAELXSI",3452.5,3459.9,3380,3492,3383,-3.12,246498,840787423.14,"10-Jun-2026"
"BSE",3301,3319.9,3268.2,3394,3289.8,-3.07,4363653,14362134755.43,"10-Jul-2026"
"DLF",670.2,672.1,654.7,675.1,655.1,-2.96,16999734,11335592628.54,"27-Jul-2026"
"MUTHOOTFIN",2854.1,2865.3,2795.6,2899.7,2815,-2.92,1026951,2902810505.13,"17-Apr-2026"
"NBCC",85.3,85.52,83.5,86,83.6,-2.79,5688912,479120168.64,"28-Aug-2026"
"WIPRO",168.7,169.15,166.37,171.5,167,-2.62,11990872,2010989143.12,"27-Jul-2026"
"GODREJPROP",1905.5,1908.2,1855,1906.6,1857.1,-2.6,538498,1011530798.14,"28-Jul-2026"
"PERSISTENT",5490,5490,5372.5,5560,5419,-2.54,599156,3253728641.12,"27-Jul-2026"
"MOTILALOFS",1049.5,1049.6,1019,1051.5,1025,-2.52,488722,504356216.78,"30-Jan-2026"
"UNITDSPR",1438,1439.9,1395.2,1440,1405.2,-2.42,493270,693113407.8,"08-Jul-2026"
"MAZDOCK",2451,2461.2,2395,2466.4,2408.8,-2.34,563485,1363081484.7,"20-Aug-2026"
"HDFCBANK",698,700,687.1,703,687.1,-2.26,39138036,27141445205.28,"19-Jun-2026"
"CDSL",1393,1393,1360,1400,1368.6,-2.24,1312217,1800125524.94,"17-Jul-2026"
"HEROMOTOCO",5266.5,5297,5205.5,5333.5,5218,-2.17,531983,2788298457.39,"24-Jul-2026"
