"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"POWERINDIA",35000,36390,34225,32600,36050,10.58,675953,24062730363.19,"21-Aug-2026"
"PAYTM",1445,1598.5,1445,1441.6,1584.1,9.88,20046110,31115571942,"-"
"NAUKRI",1240.1,1298.5,1236.7,1225.3,1282,4.63,5801604,7369951609.32,"24-Jul-2026"
"MCX",2640,2789,2603.2,2638,2759.3,4.6,4554692,12450706051.2,"02-Jan-2026"
"BSE",3457.1,3615,3427.6,3457.1,3596.1,4.02,6338788,22522981521.6,"10-Jul-2026"
"DMART",3910,4059.8,3897,3900,4054,3.95,552732,2211237529.92,"09-Aug-2021"
"TITAN",4932,5122.2,4886.2,4941,5090,3.02,3664718,18529180679.8,"09-Jul-2026"
"LTM",4688,4799.7,4682.5,4658.1,4795,2.94,565664,2697510200,"25-May-2026"
"CHOLAFIN",1875.9,1920,1862,1866.2,1920,2.88,1593186,3032581755.42,"21-Jul-2026"
"DLF",642,660.9,639.3,642,660,2.8,3031205,1985924267.8,"27-Jul-2026"
"APLAPOLLO",1974.9,2020,1951.7,1970,2020,2.54,587468,1171346570.52,"22-Aug-2025"
"TATACONSUM",1085.6,1109.8,1082.3,1082.3,1108.7,2.44,1417750,1558461687.5,"25-May-2026"
"JSWENERGY",564,578,562.35,564.4,578,2.41,1950349,1113103181.28,"05-Jun-2026"
"MAZDOCK",2519,2582,2487,2514.9,2575,2.39,1466868,3742112286.12,"13-Feb-2026"
"HEROMOTOCO",5765,5933,5756.5,5725,5860,2.36,990018,5818771393.92,"24-Jul-2026"
"OIL",450,462.45,448.5,442.8,453,2.3,8392933,3815679129.79,"18-Feb-2026"
"BAJFINANCE",1078,1106.1,1070.8,1078,1102.2,2.24,7303098,7970455095.24,"30-Jun-2026"
"PHOENIXLTD",1907,1950,1890.7,1895.5,1935,2.08,456723,881575869.06,"15-Sep-2025"
"BRITANNIA",5512.5,5643.5,5512.5,5510,5623.5,2.06,327625,1831872596.25,"31-Jul-2026"
"SHRIRAMFIN",1115,1139.2,1106.1,1115,1137.8,2.04,3535895,3983716101.75,"03-Jul-2026"
