"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"ABB",7210.5,7924.5,7191,7204.5,7655.5,6.26,2577801,19912610494.65,"30-Apr-2026"
"DIXON",14101,14685,14101,13651,14499,6.21,2267533,32709050148.35,"16-Sep-2025"
"IEX",119.06,125.88,118.65,118.89,125.4,5.48,19324459,2380000370.44,"15-May-2026"
"UPL",597.15,629,597,597.3,629,5.31,5435872,3363065288.96,"17-Jul-2026"
"BHEL",424.2,441,407.05,417.95,440.1,5.3,55731908,23635344863.72,"17-Jul-2026"
"SRF",2777.1,2916,2777.1,2775.6,2890,4.12,1533270,4406341991.4,"27-Jan-2026"
"KAYNES",3369.7,3478.4,3362.3,3337.2,3438,3.02,1748955,5998058662.05,"08-Sep-2023"
"PGEL",601,631,600.2,599.75,617.85,3.02,4843856,2993599885.12,"19-Sep-2025"
"SONACOMS",669.25,690.85,665.85,669.2,684.6,2.3,2769737,1886329383.85,"25-Jun-2026"
"SIEMENS",3599,3855,3558.7,3571.8,3650,2.19,1382371,5115629770.02,"07-Apr-2025"
"SUPREMEIND",3458.4,3538.1,3454.8,3457.8,3533,2.17,249000,875479020,"25-Jun-2026"
"AMBER",7910.5,8095,7779,7850.5,8010,2.03,598369,4772106465.11,"02-Aug-2024"
"GODFRYPHLP",2092,2135,2086,2085,2126,1.97,291301,615035453.34,"10-Nov-2025"
"HCLTECH",1175.4,1204,1174.7,1168,1189.7,1.86,5147444,6145739289.36,"17-Jul-2026"
"INDIGO",5179.5,5280,5176,5171,5265,1.82,996192,5209715568.96,"13-Aug-2025"
"WIPRO",175.6,177.99,175.41,174.65,177.7,1.75,11184572,1984143072.8,"05-Jun-2026"
"NAUKRI",1191.75,1210.8,1184.2,1185.95,1206.5,1.73,1096469,1315817623.45,"24-Jul-2026"
"BIOCON",438.4,447.15,434,434.6,442,1.7,7716191,3403226040.55,"03-Jul-2026"
"IDEA",13.79,14.05,13.76,13.67,13.88,1.54,299979019,4166708573.91,"20-Aug-2024"
"MARUTI",13605,13845,13584,13583,13790,1.52,356847,4912659121.95,"07-Aug-2026"
