"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"BAJAJ-AUTO",10610,11031,10575,10403.5,11019,5.92,1448948,15681457072.2,"24-Jun-2026"
"NESTLEIND",1460.3,1510,1454,1451.9,1500,3.31,6542494,9733922573.2,"10-Jul-2026"
"TVSMOTOR",3850.7,3965,3828,3792,3917,3.3,3225267,12659366491.02,"30-Mar-2026"
"KALYANKJIL",577,601.5,576,577,594.9,3.1,32800326,19527346080.84,"04-Sep-2025"
"POLYCAB",8901,9199.5,8885,8903.5,9072.5,1.9,588610,5340699860.1,"19-Jun-2026"
"BOSCHLTD",40830,41635,40715,40870,41570,1.71,15755,650325279.45,"04-Aug-2026"
"GODREJCP",1061.8,1072,1040,1054.2,1071,1.59,523442,555706964.88,"12-May-2026"
"RADICO",4088.5,4157.1,4072,4088.4,4152.2,1.56,252702,1041091807.68,"24-Jul-2026"
"SUPREMEIND",3390,3466,3368.1,3399.1,3450.8,1.52,110536,377855157.04,"25-Jun-2026"
"TATACONSUM",1074.2,1099.4,1071.1,1081.5,1097,1.43,1519534,1654012759,"25-May-2026"
"OIL",450,453.1,446.05,445.15,450.6,1.22,2534069,1139672192.06,"18-Feb-2026"
"PETRONET",275.25,280.55,274.05,276.65,280,1.21,3065377,854872337.76,"12-Jun-2026"
"UNITDSPR",1390,1407.8,1375.7,1390.8,1406.6,1.14,666171,927156812.67,"08-Jul-2026"
"PIDILITIND",1591.3,1615.6,1569.7,1591.3,1609,1.11,1518908,2418997691.72,"23-Jul-2026"
"ASTRAL",1411.1,1442,1407.5,1415.1,1430,1.05,716968,1023722758.8,"11-Nov-2025"
"ETERNAL",287.8,291.35,275.55,286.6,289.5,1.01,65944414,18778990774.78,"-"
"MARICO",850.1,866,843.75,853.55,862,0.99,1248595,1071419369.5,"30-Jul-2026"
"COLPAL",2085.1,2114.8,2065.3,2092.9,2111.8,0.9,248087,519551238.01,"01-Jun-2026"
"EXIDEIND",442.95,452.8,435.5,443.45,447.35,0.88,4528760,2013531983.6,"03-Jul-2026"
"BHEL",414,421,412.35,413.3,416.8,0.85,11711567,4882200935.29,"17-Jul-2026"
