"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"MAXHEALTH",1028.7,1095.6,1026.5,1026.15,1092.45,6.46,6871544,7412059651.04,"04-Jul-2025"
"NYKAA",282.45,303.75,281.8,280.95,298,6.07,36124206,10729972908.18,"10-Nov-2022"
"ADANIPOWER",220.4,232.2,219.4,220.4,231.9,5.22,49545386,11213111759.52,"22-Sep-2025"
"CDSL",1291.8,1396.8,1289,1290.9,1351.9,4.73,9899144,13482040179.36,"07-Aug-2025"
"KAYNES",3269.9,3399,3231.9,3248.3,3385,4.21,1871255,6262847221.85,"08-Sep-2023"
"ICICIPRULI",506.8,523.9,502.95,503.65,523.1,3.86,2836263,1461724862.31,"05-Jun-2026"
"ADANIGREEN",1472.5,1520,1465,1465.8,1517,3.49,2123098,3160210142.02,"14-Jun-2024"
"UNITDSPR",1329,1367.6,1325.3,1308,1352.6,3.41,2744272,3703696933.92,"27-Jan-2026"
"MFSL",1635,1697,1632.6,1631.8,1686.9,3.38,1061168,1775047548.64,"16-Aug-2024"
"BHEL",392.8,409.45,391.35,392.25,405,3.25,15191954,6108532783.86,"01-Aug-2025"
"CAMS",815.1,836,807,807.25,832.5,3.13,2299896,1897920177.12,"10-Jul-2026"
"ADANIENSOL",1493,1540,1483.5,1491,1535.8,3,1942444,2931322815.96,"14-Jun-2024"
"PGEL",554,566.9,546.5,545.65,562,3,4106257,2295192350.15,"19-Sep-2025"
"LICI",419.7,437.9,418.7,418.15,430.55,2.97,10970744,4726745052.4,"25-Jun-2026"
"DLF",623.55,644,623,623.55,642,2.96,9821046,6234792842.64,"28-Jul-2025"
"RADICO",3595,3735,3566.6,3572.2,3675.5,2.89,1199579,4408008980.77,"24-Jul-2026"
"INDIGO",4895,5022,4877,4878.4,5014,2.78,1129087,5604595923.21,"13-Aug-2025"
"ICICIGI",1788,1844,1785.3,1790.5,1840,2.76,539566,987826641.48,"29-May-2026"
"ADANIENT",2952,3041,2938,2951.9,3032,2.71,1774394,5282867768.32,"12-Jun-2026"
"LUPIN",2283.8,2337.9,2279.2,2272,2330.1,2.56,934007,2158237995.11,"25-Jul-2025"
