"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"ATHERENERG",1614,1661.9,1607.4,1580,1658.3,4.96,8084030,13238730889.2,"-"
"FORCEMOT",17419,18339,17349,17355,18175,4.72,222762,4017477028.08,"09-Sep-2026"
"BLUESTARCO",1450,1518.5,1450,1456.9,1514,3.92,997408,1496311481.6,"17-Jul-2026"
"MANAPPURAM",319.4,335.1,318.25,320,330.8,3.38,6951456,2285916791.04,"17-Aug-2026"
"PNBHOUSING",1142.5,1186.4,1132.8,1142,1179,3.24,1084408,1271186433.92,"31-Jul-2026"
"HDFCLIFE",515.15,526.15,508.7,514,526.15,2.36,4121677,2135399636.93,"19-Jun-2026"
"POWERGRID",265.85,271.75,265.3,265.85,271.75,2.22,12182950,3292564067,"13-Aug-2026"
"ICICIPRULI",462.05,475.15,455.3,462.5,471,1.84,2174107,1013286049.49,"05-Jun-2026"
"NAM-INDIA",1156.6,1186.3,1152.4,1164.8,1185,1.73,1085538,1271816320.8,"25-Jun-2026"
"PERSISTENT",5404.5,5560,5370.5,5419,5509.5,1.67,516789,2842318828.44,"27-Jul-2026"
"CHOLAFIN",1827.1,1868.2,1804.2,1829,1859,1.64,2679971,4965530667.93,"21-Jul-2026"
"BANKBARODA",235,239.46,234.84,234.1,237.62,1.5,8948773,2127839243.94,"05-Jun-2026"
"ONGC",236.1,239.8,235.6,234.02,237.27,1.39,12770398,3030287741.42,"04-Sep-2026"
"BANDHANBNK",171.9,174.01,169.41,171.7,174,1.34,11852716,2033333429.8,"17-Aug-2026"
"BHARTIARTL",1815.1,1849,1814,1814.7,1839,1.34,4588009,8397524632.88,"24-Jul-2026"
"DABUR",370.45,377.75,369,371.55,376.45,1.32,2118845,793401510.25,"17-Jul-2026"
"VOLTAS",1142.5,1158.9,1131.4,1143.8,1158.5,1.29,517423,593867074.02,"12-Jun-2026"
"KALYANKJIL",609,620.35,603.5,607.6,615.2,1.25,6065312,3724465486.72,"11-Sep-2026"
"APLAPOLLO",2180,2194.8,2158.4,2168,2194.8,1.24,292114,635748146.18,"08-Sep-2026"
"HEROMOTOCO",5235,5280,5169,5218,5280,1.19,501139,2618506400.29,"24-Jul-2026"
