"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"IDEA",15.7,15.7,14.82,15.52,14.9,-3.99,887538004,13472826900.72,"20-Aug-2024"
"KAYNES",3612,3632.5,3480,3615,3499,-3.21,847201,3004259466.1,"08-Sep-2023"
"GVT&D",4645,4666.9,4525,4673,4545,-2.74,685035,3127225877.1,"21-Aug-2026"
"SUZLON",45.44,45.68,44.1,45.45,44.22,-2.71,43620970,1954219456,"03-Sep-2024"
"UNIONBANK",182.69,184.44,177.62,183.89,179.2,-2.55,8543466,1544487783.48,"03-Jul-2026"
"DIXON",13845,13867,13355,13845,13500,-2.49,467950,6341705195,"16-Sep-2025"
"COCHINSHIP",1556.1,1571.8,1520.4,1556,1520.4,-2.29,1052390,1624542871.3,"03-Feb-2026"
"ADANIENSOL",1439.4,1439.4,1382.1,1423.3,1391.9,-2.21,1412366,1980405481.54,"14-Jun-2024"
"HINDZINC",608.5,610.9,592.25,605.4,593.6,-1.95,4557273,2743523918.73,"30-Apr-2026"
"BDL",1215,1221.2,1190,1218.1,1195,-1.9,1239499,1485824636.27,"09-Feb-2026"
"HCLTECH",1224.8,1237,1196.9,1229.8,1207,-1.85,2197675,2664483146.75,"17-Jul-2026"
"AUROPHARMA",1693.4,1693.4,1655,1698.9,1668.4,-1.8,798157,1332586964.06,"17-Apr-2026"
"INOXWIND",77.39,77.85,75.81,77.39,76.02,-1.77,9771401,749075600.66,"29-Jul-2025"
"SAGILITY",45.1,45.14,44.3,45.2,44.41,-1.75,9849204,439077514.32,"07-Aug-2026"
"BRITANNIA",5108,5108,4997,5090,5009,-1.59,262978,1321766874.7,"31-Jul-2026"
"MCX",3311.9,3335.5,3285,3350,3300,-1.49,1308459,4326550529.4,"28-Aug-2026"
"SAIL",186.51,187.03,183.1,186.4,183.75,-1.42,8056438,1490118772.48,"08-Sep-2025"
"NMDC",86,86.12,84.17,85.8,84.6,-1.4,9866614,837280864.04,"13-Feb-2026"
"FORTIS",914.65,915,900.6,915,902.45,-1.37,962381,873649471.8,"24-Jul-2026"
"CGPOWER",928,931,905,926.95,914.55,-1.34,1989181,1819623211.56,"30-Jan-2026"
