SYMBOL,PREV. CLOSE,BEST BID QTY,BEST BID PRICE,BEST ASK PRICE,BEST ASK QTY,INDICATIVE EQUILIBRIUM QUANTITY,INDICATIVE EQUILIBRIUM PRICE,CHANGE,%CHANGE,FINAL PRICE,FINAL VOLUME,VALUE (₹ Crores),FFM CAP (₹ Crores),INDICATIVE IMBALANCE QUANTITY AT EQUILIBRIUM PRICE,INDICATIVE IMBALANCE QUANTITY AT MARKET ORDER,52 WEEK HIGH,52 WEEK LOW
IDEA,"15.52","40,245","15.69","15.70","3,35,455","-","-","0.18","1.16","15.70","1,47,08,988","23.09","43,102.64","-","-","15.79","7.16"
DIVISLAB,"9,488.00","1,024","9,601.00","9,604.00","200","-","-","112.50","1.19","9,600.50","22,168","21.28","1,21,670.12","-","-","9,615.00","5,636.50"
HDFCBANK,"687.10","30,915","687.10","687.25","292","-","-","-","-","687.10","1,92,042","13.20","10,50,139.71","-","-","1,020.50","687.10"
BHARTIARTL,"1,814.70","17","1,815.10","1,819.90","200","-","-","0.40","0.02","1,815.10","71,672","13.01","5,63,701.59","-","-","2,174.50","1,740.50"
RELIANCE,"1,279.00","1,957","1,278.50","1,278.90","135","-","-","-0.50","-0.04","1,278.50","72,018","9.21","8,61,292.38","-","-","1,611.80","1,249.80"
INFY,"1,035.00","5,255","1,039.60","1,039.80","10","-","-","4.60","0.44","1,039.60","85,279","8.87","3,63,707.51","-","-","1,728.00","982.40"
ATHERENERG,"1,580.00","4,475","1,614.00","1,614.90","400","-","-","34.00","2.15","1,614.00","41,511","6.70","31,795.17","-","-","1,744.00","522.00"
TCS,"2,208.00","2","2,198.10","2,199.00","404","-","-","-9.00","-0.41","2,199.00","27,530","6.05","2,23,885.16","-","-","3,350.00","1,976.80"
TORNTPHARM,"4,930.00","7","4,954.50","5,000.00","91","-","-","70.00","1.42","5,000.00","9,547","4.77","73,139.60","-","-","5,250.00","3,480.60"
ICICIBANK,"1,389.10","503","1,385.60","1,385.90","26,544","-","-","-3.20","-0.23","1,385.90","32,812","4.55","9,90,617.33","-","-","1,480.00","1,187.60"
LT,"3,922.60","25","3,948.00","3,949.40","179","-","-","26.80","0.68","3,949.40","8,709","3.44","4,61,005.82","-","-","4,440.00","3,288.10"
MCX,"3,350.00","25","3,311.20","3,311.80","62","-","-","-38.10","-1.14","3,311.90","9,419","3.12","84,252.71","-","-","3,480.00","1,496.00"
PAYTM,"1,751.50","1","1,748.40","1,750.00","6,224","-","-","-1.50","-0.09","1,750.00","17,020","2.98","73,617.84","-","-","1,758.90","930.60"
ADANIPORTS,"1,775.00","3","1,779.00","1,779.90","1,314","-","-","4.90","0.28","1,779.90","16,313","2.90","1,30,942.77","-","-","1,891.10","1,292.00"
TATASTEEL,"188.75","100","188.99","189.00","30,575","-","-","0.25","0.13","189.00","1,50,591","2.85","1,55,791.95","-","-","224.40","160.06"
SBIN,"1,000.50","152","1,002.00","1,002.40","1,000","-","-","1.50","0.15","1,002.00","28,373","2.84","4,13,019.67","-","-","1,234.70","805.60"
BSE,"3,289.80","6","3,287.80","3,288.00","1","-","-","-1.80","-0.05","3,288.00","8,620","2.83","1,33,984.61","-","-","4,446.80","2,021.50"
BEL,"406.00","14,517","407.00","407.20","348","-","-","1.00","0.25","407.00","64,545","2.63","1,45,367.47","-","-","473.45","369.90"
COFORGE,"1,845.00","1","1,841.70","1,842.00","25","-","-","-3.00","-0.16","1,842.00","13,332","2.46","63,966.98","-","-","2,021.20","1,008.10"
ETERNAL,"320.60","3","322.20","322.70","2,767","-","-","2.10","0.66","322.70","71,236","2.30","2,32,644.24","-","-","368.45","212.60"
ADANIENT,"3,104.70","1,056","3,114.50","3,114.70","5","-","-","9.80","0.32","3,114.50","6,633","2.07","93,241.93","-","-","3,245.00","1,753.00"
APOLLOHOSP,"8,967.00","200","8,970.00","9,000.00","137","-","-","33.00","0.37","9,000.00","2,243","2.02","92,360.05","-","-","9,050.00","6,696.50"
ONGC,"234.02","833","236.10","236.20","3,779","-","-","2.08","0.89","236.10","83,894","1.98","91,456.44","-","-","307.50","227.65"
NATIONALUM,"377.60","3,885","382.00","382.05","244","-","-","4.40","1.17","382.00","50,297","1.92","34,159.95","-","-","445.15","198.68"
WIPRO,"167.00","1,481","167.83","167.90","2,195","-","-","0.90","0.54","167.90","1,10,797","1.86","45,346.20","-","-","273.10","166.37"
BAJFINANCE,"1,039.30","272","1,042.50","1,044.30","2","-","-","3.20","0.31","1,042.50","15,844","1.65","2,78,631.84","-","-","1,176.40","787.90"
ADANIENSOL,"1,423.30","100","1,439.00","1,439.40","1,571","-","-","16.10","1.13","1,439.40","11,448","1.65","47,989.69","-","-","1,789.00","773.55"
