"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"KFINTECH",872.35,955.3,862,857.75,948.1,10.53,10620157,9864001821.6,"15-Jul-2026"
"LAURUSLABS",1624.8,1734.5,1617.1,1601.2,1711,6.86,7989771,13516695089.25,"08-May-2026"
"CONCOR",470,515.3,469.95,477.55,510,6.8,13227175,6679194288,"04-Aug-2026"
"ETERNAL",281.5,297,281.45,280,295.7,5.61,48012383,14078190943.26,"-"
"LODHA",1155,1207,1150.1,1144.1,1204.45,5.27,4971286,5903004422.12,"22-Aug-2025"
"INDIGO",5111,5242.5,5095,4985,5240,5.12,1731299,8977927972.34,"13-Aug-2025"
"AUBANK",1021,1062,1021,1004,1055,5.08,5047131,5276068862.16,"31-Jul-2026"
"IDFCFIRSTB",86.3,88.76,84.7,80.79,84.83,5,177923165,15372561456,"07-Aug-2026"
"SBICARD",630.65,647.25,627.95,618.75,647,4.57,2047438,1307616753.08,"11-Mar-2026"
"OFSS",10760,11189,10665,10652,11098,4.19,460067,5083873769.43,"07-May-2026"
"GODFRYPHLP",2144.9,2248.2,2121.2,2129.6,2215.4,4.03,1459627,3218900826.83,"10-Nov-2025"
"HINDPETRO",390.2,396.15,386.8,381.1,395.35,3.74,7119104,2784993484.8,"14-Aug-2026"
"INFY",1065,1082,1057.4,1040.9,1078.3,3.59,15956349,17160415095.54,"10-Jun-2026"
"BAJFINANCE",1026.7,1050,1026.6,1012.8,1049,3.57,7610916,7932705528.48,"30-Jun-2026"
"LTF",305,312.85,305,302.4,312.8,3.44,5922451,1843599771.79,"22-May-2026"
"CHOLAFIN",1744,1804.5,1743.8,1724.4,1783.5,3.43,1963093,3502805732.69,"21-Jul-2026"
"NAM-INDIA",1123.6,1159.9,1119.2,1112.5,1150.6,3.42,1164795,1337650578,"25-Jun-2026"
"MAXHEALTH",1086.9,1119.8,1085.4,1080.4,1116.1,3.3,1759824,1945151065.44,"03-Jul-2026"
"SHRIRAMFIN",1020,1040,1002.2,1005.1,1038,3.27,9459410,9691354733.2,"03-Jul-2026"
"CAMS",763,790,762,761.45,786,3.22,1440127,1126971383.85,"10-Jul-2026"
