"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"ONGC",284.2,284.2,272.45,287.5,273.3,-4.94,29178516,8078072154.6,"18-Feb-2026"
"MCX",3312,3322.7,3150.8,3307.3,3155,-4.6,2992806,9646083090.54,"02-Jan-2026"
"RADICO",3604,3649,3426.9,3578.4,3440,-3.87,463766,1629372276.1,"24-Jul-2025"
"BSE",4437,4446.8,4236.1,4403.3,4249.9,-3.48,4332377,18790125581.78,"10-Jul-2026"
"BDL",1329.9,1341.7,1275.2,1329.9,1288.9,-3.08,1387167,1802346083.1,"09-Feb-2026"
"LICI",855,855,818.85,854.9,830.2,-2.89,5643800,4705461812,"29-May-2026"
"RVNL",259.75,259.75,251.3,259.75,252.85,-2.66,14271574,3628262258.02,"11-Feb-2026"
"HDFCBANK",769.5,773.9,756.9,778.9,759.15,-2.54,63680153,48535102212.01,"19-Jun-2026"
"PATANJALI",465.95,466.75,452,465.75,454,-2.52,1174899,540500535.96,"24-Apr-2026"
"MFSL",1721,1725.7,1674.2,1725.6,1685,-2.35,696946,1179295357.14,"16-Aug-2024"
"COFORGE",1425,1433.4,1382.2,1422.8,1391,-2.24,1709429,2393217694.29,"30-Jan-2026"
"ANGELONE",345,350.25,335.05,344.45,337,-2.16,6777475,2320471890.5,"27-Mar-2026"
"AUROPHARMA",1463,1473,1428.5,1461.2,1431.9,-2.01,791921,1145086089.16,"17-Apr-2026"
"KAYNES",3299,3336,3220,3299,3235,-1.94,1223825,4004453306,"08-Sep-2023"
"BAJAJHLDNG",10705,10710,10500,10705,10516,-1.77,30861,327163015.98,"30-Jun-2026"
"KPITTECH",783.5,795,766.25,784.7,773.4,-1.44,1268829,982682683.92,"04-Feb-2026"
"HDFCLIFE",619.9,619.9,608.65,618.85,610.45,-1.36,1266431,774941793.21,"19-Jun-2026"
"MPHASIS",2270.7,2288.3,2224.1,2265.3,2236.1,-1.29,241776,542835475.2,"09-Jul-2025"
"PNBHOUSING",1093,1105,1074,1092.6,1078.9,-1.25,532208,577951277.6,"01-Aug-2025"
"PHOENIXLTD",1784.8,1797.5,1763.6,1785.4,1763.6,-1.22,399545,710950373,"15-Sep-2025"
