"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"LTM",4399,4720.4,4386.1,4362.1,4690,7.52,1900137,8786461504.44,"25-May-2026"
"JUBLFOOD",439.95,470.8,439.95,438.25,470,7.24,6073943,2807923109.47,"17-Jul-2026"
"APLAPOLLO",1820.3,1958,1820.3,1819.5,1941.5,6.71,4251591,8099280855,"22-Aug-2025"
"DIVISLAB",8380,8585,8105,8056,8585,6.57,1798150,15008384845.5,"24-Jul-2026"
"NATIONALUM",357.95,369,353.5,350.05,369,5.41,12541474,4519320155.9,"08-May-2026"
"GODFRYPHLP",2144.8,2269.9,2134.2,2133.4,2247,5.32,1547162,3460212341.38,"10-Nov-2025"
"GRASIM",3120,3260,3103.1,3100.8,3260,5.13,393816,1240288048.56,"07-Aug-2026"
"ASHOKLEY",169.28,175,169.13,166.18,174.55,5.04,47817945,8276808100.05,"03-Jun-2026"
"PAYTM",1348,1437.6,1344.4,1343,1410,4.99,7964165,11180572676.9,"-"
"ABCAPITAL",410,430.7,410,404.3,424.35,4.96,14133770,5989326375.2,"16-Aug-2018"
"TCS",2383.9,2473.7,2383,2365.6,2473.7,4.57,3036839,7377757403.38,"15-Jul-2026"
"INDIGO",5300,5402,5276,5171,5400,4.43,990927,5307850929.15,"13-Aug-2025"
"INFY",1145.1,1180,1138.1,1130.1,1180,4.42,8582270,9962985597.6,"10-Jun-2026"
"ABB",7243.5,7657,7243,7284.5,7601,4.34,1207164,9001930592.76,"30-Apr-2026"
"SHRIRAMFIN",1058,1095,1051.6,1046.7,1090.2,4.16,7047761,7614189551.57,"03-Jul-2026"
"VMM",107.65,111.39,107.11,107.1,111.2,3.83,12521867,1381287148.77,"-"
"SIEMENS",3741.7,3905,3694.2,3760,3900,3.72,609663,2357213216.46,"29-Jul-2026"
"MPHASIS",2361,2429,2339.9,2342.3,2429,3.7,423329,1011929874.89,"08-Jul-2026"
"SHREECEM",26150,27000,26110,26055,27000,3.63,33488,894951395.52,"17-Jul-2026"
"FEDERALBNK",359.45,371.7,357.3,358.85,371.7,3.58,4384044,1579702574.52,"22-Aug-2025"
