"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"KPITTECH",559.3,559.5,532,559.3,532,-4.88,3944020,2143929831.8,"12-Aug-2026"
"TCS",2177.2,2177.3,2101.2,2190,2105,-3.88,6875428,14561812732.6,"15-Jul-2026"
"TATAELXSI",3399,3399,3266.7,3381.8,3266.7,-3.4,297430,989442535.2,"10-Jun-2026"
"TMPV",309.6,310,301.5,314.5,303.8,-3.4,18037112,5495186541.92,"19-Jun-2026"
"DIXON",13290,13383,13005,13290,13005,-2.14,371296,4890558680.64,"21-Sep-2026"
"VOLTAS",1136,1145.3,1110.9,1135,1110.9,-2.12,597381,671701170.21,"12-Jun-2026"
"IDEA",14.34,14.37,13.92,14.22,13.92,-2.11,350366817,4961194128.72,"20-Aug-2024"
"NMDC",81.38,81.7,79.15,80.8,79.15,-2.04,18919633,1516219388.62,"13-Feb-2026"
"SBILIFE",1751.3,1770,1731,1766.9,1731,-2.03,929365,1627736329.25,"06-Mar-2026"
"COALINDIA",418,419.95,409.65,418,409.9,-1.94,7700870,3171834335.6,"04-Sep-2026"
"ICICIGI",1485.7,1486.8,1458.1,1486.7,1458.1,-1.92,925599,1363314767.1,"29-May-2026"
"MARUTI",12350,12458,12103,12338,12103,-1.9,659773,8053400365.36,"07-Aug-2026"
"NTPC",329.8,330.85,323.65,329.6,323.65,-1.81,9448827,3086175874.74,"02-Sep-2026"
"YESBANK",23.2,23.38,22.72,23.13,22.72,-1.77,73563796,1693438583.92,"03-Jun-2019"
"TATACONSUM",1016.2,1018.7,996,1013.7,996,-1.75,2076522,2083104574.74,"25-May-2026"
"SUNPHARMA",1866.1,1877.2,1837.3,1867.3,1837.3,-1.61,2896860,5358843376.8,"07-Jul-2026"
"MARICO",820.05,822.45,803.9,817,803.9,-1.6,2848872,2312628823.44,"30-Jul-2026"
"BOSCHLTD",47850,48650,47000,47735,47000,-1.54,27389,1308818422.92,"04-Aug-2026"
"TECHM",1558.3,1561.2,1523.1,1561,1537.1,-1.53,3113722,4784171578.56,"03-Jul-2026"
"ITC",266.6,266.6,262.3,266.2,262.3,-1.47,14399150,3805551353.5,"27-May-2026"
