SYMBOL,PREV. CLOSE,BEST BID QTY,BEST BID PRICE,BEST ASK PRICE,BEST ASK QTY,INDICATIVE EQUILIBRIUM QUANTITY,INDICATIVE EQUILIBRIUM PRICE,CHANGE,%CHANGE,FINAL PRICE,FINAL VOLUME,VALUE (₹ Crores),FFM CAP (₹ Crores),INDICATIVE IMBALANCE QUANTITY AT EQUILIBRIUM PRICE,INDICATIVE IMBALANCE QUANTITY AT MARKET ORDER,52 WEEK HIGH,52 WEEK LOW
ETERNAL,"322.35","50","328.00","328.50","16,377","-","-","6.15","1.91","328.50","6,36,390","20.91","2,36,825.64","-","-","368.45","212.60"
HDFCBANK,"713.00","2,311","715.25","715.40","5","-","-","2.25","0.32","715.25","1,62,686","11.64","10,93,163.19","-","-","1,020.50","681.90"
BHARTIARTL,"1,836.00","40","1,840.00","1,843.00","2,055","-","-","7.00","0.38","1,843.00","51,119","9.42","5,72,366.28","-","-","2,174.50","1,740.50"
PAYTM,"1,763.00","3,650","1,795.40","1,796.00","4","-","-","32.40","1.84","1,795.40","51,993","9.33","75,527.70","-","-","1,855.50","930.60"
ICICIBANK,"1,347.60","12","1,351.00","1,351.90","8,287","-","-","4.30","0.32","1,351.90","66,964","9.05","9,66,359.99","-","-","1,480.00","1,187.60"
TCS,"2,190.00","226","2,177.20","2,179.10","41","-","-","-12.80","-0.58","2,177.20","40,311","8.78","2,21,665.65","-","-","3,350.00","1,976.80"
SHRIRAMFIN,"995.00","70","1,004.00","1,004.90","4,058","-","-","9.90","0.99","1,004.90","64,998","6.53","1,40,349.93","-","-","1,153.70","603.15"
SBIN,"988.70","1","991.40","992.00","2,707","-","-","3.30","0.33","992.00","62,762","6.23","4,08,897.71","-","-","1,234.70","831.00"
TMPV,"314.50","2,821","309.60","309.80","1,220","-","-","-4.90","-1.56","309.60","1,92,802","5.97","64,528.78","-","-","739.70","294.30"
BEL,"395.45","1,771","397.40","397.45","1,000","-","-","1.95","0.49","397.40","96,645","3.84","1,41,938.65","-","-","473.45","380.45"
INFY,"1,058.60","1","1,061.30","1,061.90","2,360","-","-","3.30","0.31","1,061.90","31,221","3.32","3,71,509.24","-","-","1,728.00","982.40"
IDEA,"14.22","7,21,027","14.34","14.35","19,380","-","-","0.12","0.84","14.34","22,83,914","3.28","39,368.90","-","-","15.79","7.71"
RELIANCE,"1,243.90","3,539","1,245.00","1,245.10","2","-","-","1.10","0.09","1,245.00","25,072","3.12","8,38,724.30","-","-","1,611.80","1,226.40"
BAJFINANCE,"1,015.00","1,902","1,025.90","1,026.00","55","-","-","10.90","1.07","1,025.90","24,354","2.50","2,74,195.11","-","-","1,176.40","787.90"
INDIGO,"4,845.00","1","4,920.00","4,925.00","3,511","-","-","80.00","1.65","4,925.00","4,924","2.43","1,11,170.58","-","-","5,970.00","3,895.20"
TATASTEEL,"187.29","2","186.38","186.40","8,044","-","-","-0.89","-0.48","186.40","1,23,928","2.31","1,53,648.78","-","-","224.40","160.06"
JSWSTEEL,"1,253.40","5,758","1,270.10","1,270.50","25","-","-","16.70","1.33","1,270.10","17,747","2.25","1,18,795.01","-","-","1,351.00","1,073.20"
ZYDUSLIFE,"1,135.10","2,997","1,150.70","1,152.00","5","-","-","15.60","1.37","1,150.70","16,533","1.90","28,459.47","-","-","1,205.00","835.50"
BSE,"3,259.00","774","3,259.00","3,260.00","25","-","-","-","-","3,259.00","5,544","1.81","1,32,802.87","-","-","4,446.80","2,021.50"
HDFCAMC,"2,387.70","10","2,401.00","2,405.60","349","-","-","17.90","0.75","2,405.60","7,493","1.80","48,926.77","-","-","2,967.25","2,205.60"
BHARATFORG,"1,918.70","117","1,940.10","1,941.00","7","-","-","21.40","1.12","1,940.10","8,457","1.64","51,567.78","-","-","2,295.00","1,179.00"
HAL,"4,788.00","113","4,803.00","4,804.90","209","-","-","16.90","0.35","4,804.90","3,407","1.64","90,898.00","-","-","5,149.90","3,479.10"
