"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"EXIDEIND",347.25,368,347.25,346.25,367.15,6.04,7351528,2641477525.68,"03-Jul-2026"
"ADANIENSOL",1405,1489,1397.6,1404.3,1489,6.03,6172118,8891676633.16,"14-Jun-2024"
"ADANIPOWER",234.25,245.7,233.77,233.38,245.12,5.03,91664035,22143280934.95,"22-Sep-2025"
"NAUKRI",938.5,987,937.1,938.5,982,4.64,4782697,4653659834.94,"20-Feb-2026"
"KPITTECH",756.4,797.5,753.95,756.6,790,4.41,2237901,1730770254.39,"04-Feb-2026"
"ADANIENT",2846,2979.4,2825,2849.7,2973,4.33,4899494,14310246095.44,"12-Jun-2026"
"ADANIGREEN",1410,1465,1403.2,1411.1,1464.8,3.81,4949474,7124322370.34,"14-Jun-2024"
"JSWENERGY",559.9,580.95,553.35,557.05,577.95,3.75,6108184,3497179667.36,"05-Jun-2026"
"VEDL",332.5,348.5,332.15,332.5,344.8,3.7,39844071,13733454392.28,"30-Apr-2026"
"NATIONALUM",406.25,417.9,405.1,403,417.75,3.66,7524355,3098604632.55,"08-May-2026"
"PREMIERENE",1008,1024.6,1001,985,1019.3,3.48,3696906,3746444540.4,"08-May-2026"
"WAAREEENER",2996,3102,2995.1,2984.2,3087.9,3.47,1540466,4744357996.12,"24-Oct-2025"
"TMPV",373.75,387.3,371.8,373.25,385.6,3.31,21346890,8161983391.5,"14-Oct-2025"
"PAYTM",1103.4,1136.5,1098.6,1097.4,1133.4,3.28,3441433,3856676305.78,"-"
"BSE",4300,4425,4295.1,4291.2,4420,3,3782550,16449137359.5,"10-Jul-2026"
"SAIL",198.35,205,198.35,198.32,203.58,2.65,35728025,7257076438,"08-Sep-2025"
"POLYCAB",9369.5,9669.5,9358,9398.5,9630,2.46,424144,4041358550.88,"24-Jun-2025"
"SONACOMS",590.6,609.6,590.1,594.65,609,2.41,1904541,1148400132.18,"25-Jun-2026"
"YESBANK",22.35,22.9,22.2,22.29,22.8,2.29,122217274,2759666046.92,"03-Jun-2019"
"LICI",841.7,857.1,834.25,837.35,855.7,2.19,4073338,3457041960.6,"29-May-2026"
