"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"OFSS",9903,10510,9874.5,9862.5,10490,6.36,743926,7618174203,"07-May-2026"
"EXIDEIND",379.1,401.7,377.7,379.05,398.5,5.13,8753108,3457477660,"03-Jul-2026"
"INDIGO",4990,5230,4967.1,4961.4,5198,4.77,2145122,11020371214.02,"13-Aug-2025"
"AUBANK",1021,1073,1021,1026.35,1072.9,4.54,4900913,5196683099.55,"04-Jul-2025"
"SHREECEM",25540,26165,24955,25035,26120,4.33,59710,1541871625.7,"03-Nov-2025"
"CHOLAFIN",1723,1803,1721,1725.9,1797,4.12,2368949,4219595648.29,"21-Jul-2026"
"HINDPETRO",396.55,414,395.5,396.75,412.25,3.91,7705798,3131790423.16,"14-Aug-2026"
"LTF",286.5,297.9,286.4,286.35,297.25,3.81,5804976,1710958626.24,"22-May-2026"
"TRENT",3158.1,3309.2,3140,3142.9,3256,3.6,3950989,12816178608.31,"12-Jun-2026"
"ADANIENT",2988.3,3077.8,2971,2962.9,3068,3.55,2527812,7663997368.44,"12-Jun-2026"
"PHOENIXLTD",1842,1922.1,1840.2,1851.6,1914,3.37,619110,1174934575.8,"15-Sep-2025"
"TECHM",1420,1466.5,1420,1415.6,1461,3.21,3451553,5021560913.11,"03-Jul-2026"
"ABCAPITAL",383.75,396.5,381.85,383.75,396,3.19,5800974,2273053652.16,"16-Aug-2018"
"OBEROIRLTY",1715.9,1765.7,1693.3,1704.4,1757,3.09,957281,1667813249.44,"14-May-2026"
"AMBUJACEM",416,428,415.15,414.85,427.4,3.03,4347023,1845006971.89,"12-Jun-2026"
"LODHA",910.75,939,906.1,910.75,938.3,3.02,2227225,2062744433.75,"22-Aug-2025"
"DALBHARAT",1680,1736,1671.1,1680.6,1729.2,2.89,372469,640013482.7,"23-Jun-2026"
"BAJFINANCE",952.4,993.9,952.4,962.4,990,2.87,9873777,9699307360.41,"30-Jun-2026"
"INDUSINDBK",904.05,933.9,900.15,905.45,929.65,2.67,1793188,1652171695.68,"25-Jun-2026"
"ICICIBANK",1340.6,1377.6,1340.6,1338.3,1373,2.59,16440708,22523276738.76,"12-Aug-2025"
