"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"SIEMENS",3836.4,3878.5,3658,3811.7,3669,-3.74,471211,1768044929.43,"07-Apr-2025"
"OIL",492.5,493.9,481,499.75,483,-3.35,3887162,1890987698.14,"18-Feb-2026"
"COLPAL",2185.7,2195.7,2080.6,2156.9,2099.1,-2.68,1433773,3031383240.71,"03-Nov-2025"
"NAUKRI",964.45,969.35,908.3,960.95,936.9,-2.5,9279351,8586833034.87,"20-Feb-2026"
"NYKAA",280.1,281,267.7,277.25,270.55,-2.42,8228260,2238415850.4,"10-Nov-2022"
"MAXHEALTH",1020.05,1029.45,994,1023.25,1000.6,-2.21,3847234,3860930153.04,"04-Jul-2025"
"PAGEIND",39495,40140,38450,39455,38600,-2.17,32772,1280966701.56,"27-May-2026"
"ONGC",289.95,289.95,284.3,290,284.9,-1.76,12837047,3669084773.54,"18-Feb-2026"
"SAIL",202.4,203.32,196.11,201.21,198.3,-1.45,22355175,4439514203.25,"08-Sep-2025"
"NATIONALUM",412,413.3,400.25,409.25,403.5,-1.41,6636144,2677418658.24,"08-May-2026"
"DIVISLAB",6750,6945,6690,6887,6791,-1.39,874049,5949826352.8,"25-Jul-2025"
"VBL",542.95,543.95,526.2,539.45,532,-1.38,8578018,4589068069.64,"30-Apr-2026"
"HINDALCO",1110,1119.8,1081.2,1109.2,1099,-0.92,7677225,8385756095.25,"08-Aug-2025"
"PAYTM",1118.5,1128,1094.1,1112.4,1103.4,-0.81,1785715,1974875789.95,"-"
"MANKIND",2508.6,2510,2439.7,2479.4,2459.5,-0.8,645837,1590315487.17,"08-Aug-2025"
"DABUR",453.4,455.75,446.25,451.05,447.45,-0.8,879387,395442746.16,"07-Nov-2025"
"AUROPHARMA",1455.2,1465,1428,1463.5,1455,-0.58,2684468,3895861029.68,"17-Apr-2026"
"INFY",1183,1185,1166.1,1174.5,1168,-0.55,5856136,6871882789.2,"10-Jun-2026"
"DMART",4150,4154.9,4077.6,4117,4097.5,-0.47,284287,1167288107.74,"09-Aug-2021"
"SUZLON",54.75,54.9,53.1,53.75,53.5,-0.47,132667695,7186609038.15,"03-Sep-2024"
