"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"MOTHERSON",155.17,169.8,155.17,155,168.5,8.71,115554793,19265295088.96,"14-Jul-2026"
"AUROPHARMA",1580.1,1662.4,1579.9,1588.9,1658,4.35,1999256,3272082332.4,"17-Apr-2026"
"FORTIS",920,967.7,903.35,920,955.15,3.82,3548745,3343201689.6,"24-Jul-2026"
"GRASIM",3220,3349.6,3183,3220,3323,3.52,1070736,3509958266.88,"07-Aug-2026"
"PGEL",614.3,643.95,602.45,609.75,630.65,3.43,11056269,6935265855.63,"19-Sep-2025"
"TCS",2375,2457.7,2375,2373,2452.7,3.36,4547325,11075828556,"15-Jul-2026"
"SONACOMS",790,821,787,792,818.05,3.29,3749341,3027517870.68,"25-Jun-2026"
"HINDALCO",1017,1059.6,1017,1027,1059.6,3.17,9279629,9652484493.22,"10-Jul-2026"
"HEROMOTOCO",5541,5800,5541,5550.5,5725,3.14,1913869,10925589128.16,"24-Jul-2026"
"LTM",4542,4688,4542,4528,4658.1,2.87,643791,2987074357.62,"25-May-2026"
"JUBLFOOD",470,488,469.4,473,486.5,2.85,4146649,2006148786.2,"17-Jul-2026"
"M&M",3405,3504.9,3402.1,3406,3502,2.82,3298259,11463099154.5,"03-Jul-2026"
"BHARATFORG",2209.9,2270,2190.4,2210,2265.2,2.5,1151904,2584492447.68,"03-Jul-2026"
"BOSCHLTD",42350,42950,42000,42000,42950,2.26,28214,1197321467.96,"04-Aug-2026"
"HINDZINC",593,605.85,590.05,590,603,2.2,6360541,3814480043.11,"30-Apr-2026"
"MPHASIS",2415,2498,2405.1,2421.9,2475,2.19,606871,1501847938.54,"08-Jul-2026"
"POWERINDIA",31945,32680,31945,31900,32600,2.19,91106,2957648784.92,"21-Aug-2026"
"WAAREEENER",2663.9,2730,2656.9,2660.9,2717,2.11,776812,2102076576.36,"24-Oct-2025"
"DELHIVERY",466,480,464.05,463.6,473.3,2.09,6405128,3024117133.92,"20-Sep-2023"
"COCHINSHIP",1490,1524.7,1482.6,1490,1519.7,1.99,2271642,3429202613.94,"03-Feb-2026"
