"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"ITC",261.5,268.2,261.5,255.5,266.6,4.34,31258553,8304772361.04,"27-May-2026"
"ADANIGREEN",1220,1271.2,1217,1214.9,1265,4.12,4309378,5407450608.18,"14-Jun-2024"
"PERSISTENT",5621.5,5852.5,5603,5594.5,5800,3.67,592977,3408858739.44,"27-Jul-2026"
"BHARTIARTL",1852,1877.2,1848.5,1811.9,1877.2,3.6,9900740,18467850322,"24-Jul-2026"
"ADANIPORTS",1625,1655.6,1625,1593.1,1647.5,3.41,3770354,6198009533.52,"12-Jun-2026"
"NAUKRI",1335,1371.7,1327.2,1313,1356,3.27,1564601,2123695521.34,"24-Jul-2026"
"MPHASIS",2422.7,2523,2407.1,2427.4,2505.5,3.22,932222,2329119378.12,"08-Jul-2026"
"ADANIPOWER",202,205.79,201.31,198,204.36,3.21,38032254,7734239173.44,"22-Sep-2025"
"HCLTECH",1316.1,1368,1313.1,1312.2,1351.4,2.99,4031856,5445142483.68,"17-Jul-2026"
"PFC",343.3,347.75,343.2,336.3,345.8,2.82,8352858,2885578324.68,"27-Aug-2026"
"RELIANCE",1285,1311.8,1280,1277,1309,2.51,12617528,16399253492.16,"05-Jun-2026"
"MARICO",823.15,840.05,823.15,820,838.1,2.21,3684805,3079317842.4,"30-Jul-2026"
"ONGC",233.8,236.6,232.5,231.8,236.45,2.01,11985775,2820492573,"04-Sep-2026"
"INFY",1128,1156,1125.6,1133.8,1156,1.96,13516123,15481367284.2,"10-Jun-2026"
"HEROMOTOCO",5610,5659,5495.5,5450,5555,1.93,1231011,6868561285.71,"24-Jul-2026"
"BAJAJ-AUTO",12180,12470,12090,12130,12361,1.9,495029,6111420121.82,"24-Jun-2026"
"LTM",4540,4648.4,4514.9,4540,4625,1.87,265080,1219264618.8,"25-May-2026"
"BLUESTARCO",1471,1499,1457,1463.8,1490.9,1.85,259707,384919535.91,"17-Jul-2026"
"TATAELXSI",3583.1,3671.9,3567.1,3578.6,3638,1.66,169501,614902167.72,"10-Jun-2026"
"DRREDDY",1166.5,1179.9,1166.5,1154.4,1171,1.44,556259,652102425.7,"10-Jul-2026"
