"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"KEI",5575,5608.5,5301.5,5740.3,5348,-6.84,658512,3571992982.08,"28-Jan-2026"
"POLYCAB",9200,9209,8871,9445,8895.5,-5.82,653035,5880554053.6,"19-Jun-2026"
"PAYTM",1689,1698.6,1616.3,1717.1,1633.5,-4.87,2753126,4527130269.36,"-"
"KALYANKJIL",609.45,614.6,569.05,601,573,-4.66,13219538,7678436451.92,"04-Sep-2025"
"SHRIRAMFIN",1099,1099,1050.6,1109.9,1059.1,-4.58,5673585,6027049345.5,"03-Jul-2026"
"MARUTI",13540,13540,12851,13547,12950,-4.41,915975,11940173793,"07-Aug-2026"
"ICICIPRULI",507,507,495,517.05,495.45,-4.18,2199838,1099655019.44,"05-Jun-2026"
"NESTLEIND",1514.8,1514.8,1436,1496.5,1438.2,-3.9,2555542,3716269176.4,"10-Jul-2026"
"PRESTIGE",1597.1,1597.1,1548.2,1633,1570,-3.86,701659,1097233294.43,"13-Aug-2026"
"CAMS",782.95,783,750.25,782,752,-3.84,1008731,767341671.7,"12-Aug-2026"
"MAXHEALTH",1022,1022,1000.2,1042.1,1003,-3.75,2829311,2853529902.16,"03-Jul-2026"
"LTF",315.25,316,305.3,321,309.05,-3.72,9359609,2890808835.74,"22-May-2026"
"VMM",112,113,106.3,110.64,106.55,-3.7,13963729,1518695166.04,"-"
"ABCAPITAL",404.5,404.85,390.3,409.4,394.45,-3.65,2580254,1018400451.26,"16-Aug-2018"
"BHEL",437.25,437.25,423.2,442.65,426.55,-3.64,7144021,3063356204.8,"17-Jul-2026"
"INDUSTOWER",386,386.2,373,388.8,375,-3.55,5558555,2096242261.6,"10-Aug-2026"
"INDIGO",5065,5106.5,5010,5234,5052,-3.48,788457,3989150884.08,"13-Aug-2025"
"KFINTECH",961.1,961.1,931,970,937.5,-3.35,577543,544432459.81,"15-Jul-2026"
"CGPOWER",901.95,903.55,881.6,916,885.5,-3.33,2969058,2637770508.36,"30-Jan-2026"
"POWERINDIA",33450,33450,32400,33760,32640,-3.32,100880,3296275184.8,"21-Aug-2026"
