"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"VBL",447.9,447.9,420.2,438,421.25,-3.82,31112914,13339039619.22,"31-Jul-2026"
"JUBLFOOD",524.35,527.85,499.5,515,499.5,-3.01,2351201,1207294689.48,"17-Jul-2026"
"PREMIERENE",1036.5,1040,982.2,1036,1005,-2.99,2553287,2555253030.99,"08-May-2026"
"VMM",112.2,112.2,109.62,112.5,109.62,-2.56,9830770,1089642546.8,"-"
"INDUSTOWER",389.4,389.4,377.7,387.25,377.7,-2.47,4874991,1871216545.44,"10-Aug-2026"
"BHARATFORG",2052.5,2052.5,2005,2052.5,2005,-2.31,456259,923221836.14,"03-Jul-2026"
"BHARTIARTL",1933.5,1942.9,1902.1,1947,1902.1,-2.31,4552921,8743702663.66,"24-Jul-2026"
"POWERGRID",270.1,271.15,265.2,271,265.2,-2.14,5303523,1421503269.69,"13-Aug-2026"
"DMART",3922.9,3935.5,3737.2,3909.6,3826.9,-2.12,2373823,9036218370.03,"09-Aug-2021"
"INFY",1142,1142,1118.3,1144,1120,-2.1,6323984,7118845548.96,"10-Jun-2026"
"VOLTAS",1245,1245,1207,1243,1217,-2.09,1046584,1278852387.12,"12-Jun-2026"
"LICI",423.9,427.9,415.15,424,415.3,-2.05,15185925,6381429403.5,"25-Jun-2026"
"ADANIGREEN",1330.6,1346.8,1303.2,1330,1303.2,-2.02,2448739,3256186197.86,"14-Jun-2024"
"BLUESTARCO",1512,1514.9,1485,1515,1485,-1.98,259007,387818951.31,"17-Jul-2026"
"LT",4114,4124.9,4038.1,4119,4038.1,-1.96,1384669,5641335359.66,"22-May-2026"
"NAUKRI",1349.2,1350.9,1322,1350,1323.5,-1.96,805875,1073409382.5,"24-Jul-2026"
"CROMPTON",245,245,235.4,243,238.25,-1.95,11453734,2734693529.84,"24-Jul-2026"
"NESTLEIND",1476,1479,1450.8,1479,1451.5,-1.86,625901,912801500.38,"10-Jul-2026"
"SHRIRAMFIN",1141.4,1142,1105,1138.5,1117.5,-1.84,3752627,4214725488.78,"03-Jul-2026"
"TECHM",1607.5,1614.9,1565.8,1599.9,1571,-1.81,1639820,2590112088.2,"03-Jul-2026"
