"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"HINDZINC",570,598.5,568,562.9,596.95,6.05,13488635,7890042156.9,"30-Apr-2026"
"JUBLFOOD",470.8,495.3,467.7,465,485,4.3,12392227,6022250555.19,"17-Jul-2026"
"BOSCHLTD",41405,43650,41310,41200,42920,4.17,116771,5022077826.32,"04-Aug-2026"
"PNBHOUSING",1070.2,1154,1070.2,1080,1121.6,3.85,5097089,5765623193.24,"31-Jul-2026"
"SONACOMS",790,822.9,785.05,787,814.6,3.51,3622373,2937744503,"25-Jun-2026"
"MPHASIS",2403.8,2484,2390.7,2380,2460,3.36,858129,2105522476.98,"08-Jul-2026"
"SHRIRAMFIN",1097.7,1122.4,1092.7,1087.3,1122.4,3.23,6684889,7388005625.02,"03-Jul-2026"
"GODREJPROP",2055.7,2143.9,2055.7,2033.6,2099,3.22,1901625,4026386677.5,"28-Jul-2026"
"360ONE",1174,1194.7,1163.3,1155,1192,3.2,1854520,2197569109.6,"27-Apr-2026"
"VEDL",270,277.2,267.6,269,277,2.97,17363666,4717708052.2,"30-Apr-2026"
"ASHOKLEY",174,178.15,173,172.08,177,2.86,29599387,5226363762.59,"03-Jun-2026"
"PIDILITIND",1638,1665,1613.9,1620,1665,2.78,1984248,3258234428.4,"23-Jul-2026"
"GRASIM",3150,3228.7,3135.8,3138,3224,2.74,692531,2218107539.9,"07-Aug-2026"
"HEROMOTOCO",5578,5705,5555,5548,5690,2.56,893125,5053774606.25,"24-Jul-2026"
"RBLBANK",382.6,392.7,379.85,380.55,389.8,2.43,7256562,2806910747.22,"08-Sep-2025"
"ICICIGI",1729.3,1771,1662.6,1644.8,1684,2.38,3035804,5154430895.52,"29-May-2026"
"JSWSTEEL",1304.5,1331,1284.7,1300,1330,2.31,2186609,2861505867.85,"07-Jul-2026"
"DIXON",14055,14395,14023,13988,14310,2.3,445064,6352985956.48,"16-Sep-2025"
"RADICO",4472,4590.3,4452.7,4450,4550,2.25,642588,2910814400.04,"24-Jul-2026"
"MOTHERSON",152,156.39,150.9,151,154.35,2.22,20566813,3171402564.6,"14-Jul-2026"
