"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"BPCL",311.1,314.25,301.4,312.9,303.85,-2.89,4641011,1419638854.79,"02-Feb-2026"
"HINDPETRO",353.4,355.95,346,356.9,347,-2.77,3433819,1202008340.95,"14-Aug-2026"
"360ONE",1125,1128.2,1104.3,1136.9,1110,-2.37,1123388,1248713165.28,"27-Apr-2026"
"BLUESTARCO",1490,1492.7,1442.1,1496,1460.9,-2.35,1169742,1714537639.08,"17-Jul-2026"
"SBILIFE",1734.6,1739.9,1696.6,1732,1696.6,-2.04,528949,905539530.04,"06-Mar-2026"
"POWERINDIA",31500,31570,30550,31775,31135,-2.01,278064,8632371751.2,"21-Aug-2026"
"ICICIBANK",1424,1424.9,1396.3,1427.5,1399.4,-1.97,12123411,17010236739.99,"03-Aug-2026"
"VOLTAS",1165,1169.2,1141.3,1167.2,1144.8,-1.92,819033,940659400.5,"12-Jun-2026"
"ANGELONE",303.8,304.15,296.5,303.8,298,-1.91,2591770,775405748.6,"21-Jul-2026"
"PETRONET",290.95,291,285,290.95,285.8,-1.77,1543809,443073183,"12-Jun-2026"
"AMBER",7405.5,7430.5,7278,7439,7308,-1.76,137462,1006638349.86,"02-Aug-2024"
"AXISBANK",1262.8,1264.9,1239.5,1266,1244.9,-1.67,3623260,4515560240.2,"10-Jul-2026"
"TIINDIA",2683.4,2683.4,2626.2,2683,2638.7,-1.65,545195,1443769043.15,"07-Aug-2026"
"ABCAPITAL",400,401,394.45,403.25,396.95,-1.56,3482938,1384711660.66,"16-Aug-2018"
"UNIONBANK",184.41,185.15,181.4,186.04,183.22,-1.52,5714683,1046015576.32,"03-Jul-2026"
"BSE",3440,3442.2,3362,3446.2,3394,-1.51,2850676,9681722392.04,"10-Jul-2026"
"ULTRACEMCO",11175,11215,10995,11175,11009,-1.49,338272,3739891256.64,"30-Jul-2026"
"PIIND",2416.4,2428.4,2390.1,2430,2395,-1.44,98267,235974443.12,"07-Aug-2026"
"MFSL",1511,1527,1485,1520,1498.7,-1.4,589318,883570370.58,"16-Aug-2024"
"LTF",311.1,311.9,308.3,312.5,308.3,-1.34,1493719,462978204.05,"22-May-2026"
