"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"GVT&D",4636.1,4793,4610,4367.2,4750,8.77,4274212,20116365067.4,"21-Aug-2026"
"BANDHANBNK",165.95,172.4,163.3,164.7,171.58,4.18,20828794,3540894980,"17-Aug-2026"
"LAURUSLABS",1870.8,1952,1862.7,1876.7,1946.9,3.74,2115447,4075895198.31,"08-May-2026"
"KALYANKJIL",591,618.9,587.1,591,612.6,3.65,10713234,6522002594.52,"04-Sep-2025"
"HAL",4904.1,5072,4903.7,4855.2,5031.1,3.62,2553021,12825177584.13,"14-Aug-2026"
"DIVISLAB",9375.5,9588,9253,9315,9575,2.79,838906,7947568939.38,"24-Jul-2026"
"NYKAA",333.1,341.55,333.1,332.7,341,2.49,5740245,1947033701.55,"10-Nov-2022"
"BHARATFORG",1954.5,2027.5,1930.5,1955,2003.7,2.49,1947343,3883410884.03,"03-Jul-2026"
"SOLARINDS",22130,22495,21925,21950,22455,2.3,217218,4854674591.76,"28-Jul-2026"
"MARICO",806.55,825.45,801.35,806,823.9,2.22,1525669,1245113727.59,"30-Jul-2026"
"SONACOMS",785.95,805.9,778.2,788,804,2.03,1137878,902132435.96,"25-Jun-2026"
"LICHSGFIN",551,563,545.4,552,563,1.99,2858992,1584138877.28,"21-Aug-2026"
"AUBANK",1055.7,1074.8,1051.4,1053,1073.7,1.97,1353347,1443358108.97,"31-Jul-2026"
"AUROPHARMA",1660.5,1698.8,1655,1660,1692,1.93,1055813,1775793000.96,"17-Apr-2026"
"ADANIPOWER",205.2,209.4,204.12,204.49,208.4,1.91,17837173,3696397360.79,"22-Sep-2025"
"POLICYBZR",1787,1827.9,1775.9,1792,1826,1.9,1108483,2016463594.96,"-"
"CGPOWER",894.9,915,892,895,910.7,1.75,2618950,2378792285,"30-Jan-2026"
"OIL",486.4,501.3,482.8,487,495.4,1.72,2619912,1293660147.36,"04-Sep-2026"
"BEL",408,416,406.5,404,410.55,1.62,23225496,9582839649.6,"13-Aug-2026"
"BOSCHLTD",48200,48955,48100,48025,48785,1.58,33665,1638346276.4,"04-Aug-2026"
