SYMBOL,PREV. CLOSE,BEST BID QTY,BEST BID PRICE,BEST ASK PRICE,BEST ASK QTY,INDICATIVE EQUILIBRIUM QUANTITY,INDICATIVE EQUILIBRIUM PRICE,CHANGE,%CHANGE,FINAL PRICE,FINAL VOLUME,VALUE (₹ Crores),FFM CAP (₹ Crores),INDICATIVE IMBALANCE QUANTITY AT EQUILIBRIUM PRICE,INDICATIVE IMBALANCE QUANTITY AT MARKET ORDER,52 WEEK HIGH,52 WEEK LOW
GVT&D,"4,367.20","264","4,636.10","4,639.00","3","-","-","268.90","6.16","4,636.10","62,599","29.02","57,287.15","-","-","5,650.00","2,523.20"
HDFCBANK,"710.50","250","707.10","707.50","58","-","-","-3.40","-0.48","707.10","1,73,065","12.24","10,80,707.02","-","-","1,020.50","698.50"
INFY,"1,087.50","454","1,095.00","1,095.50","120","-","-","7.50","0.69","1,095.00","74,677","8.18","3,83,089.39","-","-","1,728.00","982.40"
RELIANCE,"1,309.50","25,192","1,304.10","1,305.00","2","-","-","-5.40","-0.41","1,304.10","42,359","5.52","8,78,538.44","-","-","1,611.80","1,249.80"
HINDZINC,"589.15","946","593.05","593.50","50","-","-","3.90","0.66","593.05","89,565","5.31","28,440.37","-","-","733.00","430.75"
IDEA,"15.60","23,610","15.57","15.58","6,71,095","-","-","-0.02","-0.13","15.58","30,13,335","4.69","42,773.19","-","-","15.68","7.16"
DIVISLAB,"9,315.00","1","9,370.50","9,375.50","93","-","-","60.50","0.65","9,375.50","4,980","4.67","1,18,818.62","-","-","9,588.00","5,636.50"
POWERINDIA,"31,775.00","8","31,475.00","31,500.00","1,009","-","-","-275.00","-0.87","31,500.00","1,414","4.45","39,957.41","-","-","38,785.00","16,111.00"
HAL,"4,855.20","50","4,904.00","4,904.10","548","-","-","48.90","1.01","4,904.10","8,248","4.04","92,774.65","-","-","5,149.90","3,479.10"
SBIN,"1,005.90","252","1,004.90","1,005.00","178","-","-","-1.00","-0.10","1,004.90","38,562","3.88","4,14,215.03","-","-","1,234.70","805.60"
BEL,"404.00","915","407.70","408.00","18,378","-","-","4.00","0.99","408.00","88,376","3.61","1,45,724.63","-","-","473.45","369.90"
ICICIBANK,"1,427.50","610","1,423.50","1,424.00","473","-","-","-3.50","-0.25","1,424.00","23,901","3.40","10,17,788.49","-","-","1,480.00","1,187.60"
MCX,"3,330.20","33","3,346.90","3,350.00","425","-","-","19.80","0.59","3,350.00","10,037","3.36","85,221.95","-","-","3,480.00","1,496.00"
TCS,"2,270.00","192","2,270.00","2,272.00","80","-","-","-","-","2,270.00","13,792","3.13","2,31,113.83","-","-","3,350.00","1,976.80"
BSE,"3,446.20","1","3,438.00","3,440.00","1,922","-","-","-6.20","-0.18","3,440.00","8,584","2.95","1,40,178.55","-","-","4,446.80","2,021.50"
BHARTIARTL,"1,854.00","160","1,846.20","1,848.80","100","-","-","-7.80","-0.42","1,846.20","14,400","2.66","5,73,360.08","-","-","2,174.50","1,740.50"
SOLARINDS,"21,950.00","1","22,130.00","22,140.00","30","-","-","180.00","0.82","22,130.00","1,006","2.23","53,757.12","-","-","22,495.00","11,646.00"
HEROMOTOCO,"5,270.00","16","5,300.00","5,305.00","271","-","-","35.00","0.66","5,305.00","3,864","2.05","68,692.09","-","-","6,388.50","4,671.50"
LICI,"411.50","1","414.05","414.10","415","-","-","2.60","0.63","414.10","42,035","1.74","52,386.77","-","-","468.48","360.75"
ATHERENERG,"1,599.30","367","1,607.20","1,607.30","2,584","-","-","8.00","0.50","1,607.30","10,551","1.70","31,663.18","-","-","1,744.00","492.70"
DIXON,"14,180.00","619","14,128.00","14,140.00","70","-","-","-52.00","-0.37","14,128.00","1,074","1.52","58,503.41","-","-","18,471.00","9,600.00"
ADANIPOWER,"204.49","1,100","205.10","205.20","7,807","-","-","0.71","0.35","205.20","68,189","1.40","84,907.29","-","-","254.20","120.00"
ETERNAL,"320.80","3","320.75","320.80","2,895","-","-","-","-","320.80","42,946","1.38","2,31,274.48","-","-","368.45","212.60"
POLYCAB,"8,261.00","1,623","8,301.00","8,303.00","25","-","-","40.00","0.48","8,301.00","1,578","1.31","44,280.29","-","-","10,126.00","6,663.00"
M&M,"3,160.00","1,037","3,145.00","3,150.00","6","-","-","-15.00","-0.47","3,145.00","3,959","1.25","2,79,993.72","-","-","3,839.90","2,896.00"
IOC,"135.15","8,990","134.88","134.90","1,005","-","-","-0.27","-0.20","134.88","90,084","1.22","50,254.22","-","-","188.96","130.22"
TMPV,"307.00","268","306.10","306.50","200","-","-","-0.90","-0.29","306.10","37,681","1.15","63,799.29","-","-","739.70","294.30"
JIOFIN,"234.40","200","234.71","234.75","783","-","-","0.35","0.15","234.75","45,877","1.08","76,808.23","-","-","321.60","223.30"
KEI,"4,704.00","74","4,701.00","4,702.50","1","-","-","-3.00","-0.06","4,701.00","2,037","0.96","28,932.52","-","-","5,899.00","3,728.70"
SWIGGY,"276.45","14,900","276.45","277.00","200","-","-","-","-","276.45","33,947","0.94","39,126.53","-","-","474.00","235.75"
CGPOWER,"895.00","1","894.50","894.90","8,465","-","-","-0.10","-0.01","894.90","10,466","0.94","61,209.09","-","-","980.90","525.50"
BAJAJ-AUTO,"11,800.00","1","11,725.00","11,741.00","1","-","-","-73.00","-0.62","11,727.00","791","0.93","1,27,341.69","-","-","12,470.00","8,491.50"
MOTILALOFS,"1,055.00","4,571","1,060.00","1,061.30","965","-","-","5.00","0.47","1,060.00","8,500","0.90","16,539.50","-","-","1,097.10","614.90"
CDSL,"1,414.90","206","1,415.00","1,416.00","8","-","-","0.10","0.01","1,415.00","6,290","0.89","25,136.20","-","-","1,673.70","1,116.30"
HDFCLIFE,"533.20","20","538.80","539.90","9,688","-","-","6.70","1.26","539.90","15,699","0.85","58,307.22","-","-","796.90","530.50"
FEDERALBNK,"342.00","3,776","343.05","343.50","3","-","-","1.05","0.31","343.05","24,250","0.83","84,476.32","-","-","371.70","189.05"
COALINDIA,"418.85","702","418.10","418.50","385","-","-","-0.75","-0.18","418.10","19,524","0.82","99,867.60","-","-","491.25","369.60"
BDL,"1,241.70","312","1,250.00","1,250.10","280","-","-","8.40","0.68","1,250.10","6,427","0.80","11,489.45","-","-","1,654.00","1,086.00"
MOTHERSON,"162.00","50","162.70","162.80","5,534","-","-","0.80","0.49","162.80","48,121","0.78","71,721.34","-","-","173.27","95.09"
VEDL,"268.00","800","269.10","269.30","2,165","-","-","1.30","0.49","269.30","28,906","0.78","45,539.48","-","-","795.00","249.70"
NATIONALUM,"365.90","30","370.30","370.70","580","-","-","4.80","1.31","370.70","20,098","0.75","33,149.46","-","-","445.15","198.68"
