"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"KALYANKJIL",579.7,593.95,562.7,591.4,569.5,-3.7,26488790,15252245282,"04-Sep-2025"
"MCX",2678,2678,2565.5,2680,2598.6,-3.04,5561921,14456266967.15,"02-Jan-2026"
"MARICO",878.6,879,846.85,875,852,-2.63,3931248,3364951725.6,"30-Jul-2026"
"DELHIVERY",475.15,476.75,466.85,482,470.25,-2.44,2880682,1355620142.38,"20-Sep-2023"
"NHPC",81.86,82.8,77.81,80.5,78.6,-2.36,26354576,2110737991.84,"12-Aug-2026"
"BSE",3664.1,3664.1,3490,3618,3534.6,-2.31,6880162,24381918095.6,"10-Jul-2026"
"NYKAA",348,348,327.7,342.5,335.35,-2.09,33993425,11409553167,"10-Nov-2022"
"VOLTAS",1329,1329.9,1297.2,1327.7,1300.5,-2.05,469461,615838939.8,"12-Jun-2026"
"BDL",1265.3,1283.5,1232.5,1265,1240,-1.98,985899,1229731540.68,"09-Feb-2026"
"CUMMINSIND",5568.5,5593.5,5345,5550,5440,-1.98,594556,3240104268.72,"17-Jul-2026"
"TCS",2460,2460.9,2408,2460,2413,-1.91,3014409,7309097790.48,"15-Jul-2026"
"DMART",4018,4018.5,3946,4023,3946,-1.91,347773,1385924093.22,"09-Aug-2021"
"BANDHANBNK",174.8,176.15,170.46,173.6,170.46,-1.81,7569963,1322094037.95,"17-Aug-2026"
"FEDERALBNK",361.95,361.95,354.2,362.45,356.45,-1.66,5018889,1789535061.84,"22-Aug-2025"
"SOLARINDS",18800,18910,17816,18700,18400,-1.6,68056,1264285159.28,"28-Jul-2026"
"APOLLOHOSP",9009,9009,8820,9050,8910,-1.55,288978,2571690356.28,"16-Feb-2026"
"PETRONET",285,285,280.4,285,280.8,-1.47,717887,202243125.64,"12-Jun-2026"
"PGEL",617.55,632.5,602.6,612,603,-1.47,3473699,2139347003.13,"19-Sep-2025"
"HCLTECH",1370,1375,1337.1,1369.9,1350,-1.45,3215211,4340888523.21,"17-Jul-2026"
"NAUKRI",1265.9,1277.9,1230.5,1260,1242,-1.43,1282107,1600582378.8,"24-Jul-2026"
