"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"ADANIGREEN",1431,1530,1430.1,1423.3,1522,6.93,10448500,15622806170,"14-Jun-2024"
"ADANIENSOL",1528.4,1591.4,1527,1520,1578.8,3.87,5528998,8650172660.98,"14-Jun-2024"
"AMBER",7670,7884,7589,7617,7880,3.45,432111,3349309645.44,"02-Aug-2024"
"KALYANKJIL",367,374.25,361.85,362.1,372.45,2.86,8220311,3040528632.68,"04-Sep-2025"
"YESBANK",22.82,23.4,22.72,22.77,23.39,2.72,148106091,3424212823.92,"03-Jun-2019"
"CANBK",133.2,136.4,133.04,133.12,136.4,2.46,47139920,6375674180,"12-Jun-2026"
"RECLTD",336.8,346.8,336.2,335.2,343.3,2.42,11008792,3772602930.48,"20-Mar-2026"
"ADANIENT",2992,3059.8,2921.8,2972.8,3043,2.36,5617327,16937701410.02,"12-Jun-2026"
"NBCC",104.6,107.73,104.16,104.08,106.36,2.19,28253888,2998585133.44,"25-Feb-2026"
"FORTIS",946.5,972,941.55,940.65,961.1,2.17,1545060,1482438718.2,"25-Jul-2025"
"PRESTIGE",1368.9,1409.5,1356.9,1356.8,1385,2.08,880762,1222990882.72,"03-Sep-2025"
"ICICIPRULI",479.05,490.4,477.25,477.1,485.3,2.07,1629387,791181445.59,"05-Jun-2026"
"HINDUNILVR",2086.7,2127.5,2077.2,2079.4,2121.2,2.01,1822999,3844303831.22,"23-Jun-2026"
"ADANIPORTS",1801.5,1827.9,1796.7,1790.9,1826,1.96,1640762,2977507209.02,"12-Jun-2026"
"TORNTPHARM",4350,4453.5,4323,4339.9,4416,1.75,425216,1874522214.4,"29-May-2026"
"BAJFINANCE",874,913,874,874.4,889.55,1.73,13274646,11892091619.1,"30-Jun-2026"
"PFC",425.15,438.5,425.15,424.45,431.5,1.66,10804549,4673183533.48,"23-Mar-2026"
"AXISBANK",1260,1276,1252.1,1253.3,1273.3,1.6,7825303,9894782631.38,"10-Jul-2026"
"KFINTECH",854.6,873.8,850.8,853.35,867,1.6,1244789,1076057851.05,"22-Aug-2025"
"FEDERALBNK",300.5,305.4,295.75,300.1,304.8,1.57,9322801,2807654749.16,"22-Aug-2025"
