"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"MAXHEALTH",1068.25,1068.25,1011,1091.1,1023.05,-6.24,11710426,12054478315.88,"04-Jul-2025"
"GLENMARK",2390,2413.9,2226.3,2393,2250.8,-5.94,1593374,3640254107.88,"03-Oct-2025"
"AUROPHARMA",1520,1520,1445.8,1546.7,1468,-5.09,3038006,4461585231.54,"17-Apr-2026"
"PREMIERENE",1019,1019.8,962,1015.1,972.1,-4.24,9592007,9452443298.15,"08-May-2026"
"PAYTM",1161,1161,1110,1155.6,1114.3,-3.57,4091018,4574453597.06,"-"
"LTM",4135,4139.2,4000,4129.7,4008.2,-2.94,499182,2024068198.14,"25-May-2026"
"SUNPHARMA",1903,1903,1833.1,1891.3,1840,-2.71,3610317,6707788470.15,"05-Feb-2026"
"POWERINDIA",36585,36700,35415,36450,35640,-2.22,118518,4249067039.88,"13-Aug-2025"
"OFSS",9770,9770,9454.5,9730.5,9518,-2.18,200599,1913106645.03,"07-May-2026"
"AMBER",7545,7631,7324.5,7537,7382,-2.06,722284,5381499730.28,"02-Aug-2024"
"ONGC",295.8,296.8,289.4,295.85,289.95,-1.99,11561117,3370412439.01,"18-Feb-2026"
"ITC",305.9,307,301,308.05,302.05,-1.95,30742344,9334912755.6,"27-May-2026"
"WAAREEENER",3075,3087.7,2992.1,3056.6,2998,-1.92,1253179,3794550821.26,"24-Oct-2025"
"POWERGRID",298.7,300.55,293.55,299.55,294.15,-1.8,15103891,4461991479.22,"09-Feb-2026"
"KFINTECH",838.05,838.1,815.5,831.5,817.1,-1.73,950087,781655576.64,"22-Aug-2025"
"VMM",123.26,124.29,121.06,123.33,121.25,-1.69,5742138,702952533.96,"-"
"SOLARINDS",18400,18479,18055,18392,18090,-1.64,156675,2852906042.25,"08-Jul-2025"
"ALKEM",5530,5530,5385,5501.5,5414,-1.59,64840,352253674.4,"20-Feb-2026"
"CAMS",769.1,771.1,755.1,769.1,757,-1.57,1906480,1446103209.6,"30-Jan-2026"
"MCX",3333.3,3357.3,3257.3,3322.8,3275,-1.44,2710456,8907181820.88,"02-Jan-2026"
