"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"VMM",109.2,115.4,109,103.43,113.5,9.74,154596160,17453906464,"-"
"MUTHOOTFIN",3056,3209,3049.8,3022,3209,6.19,3268324,10342382515.32,"17-Apr-2026"
"SIEMENS",3920,4118.2,3903.3,3920,4114,4.95,1317188,5360428284.8,"29-Jul-2026"
"SAIL",174.8,180.96,174.71,173.46,179.65,3.57,48219604,8642881820.96,"08-Sep-2025"
"GLENMARK",2315.1,2395,2295.3,2317.9,2390.7,3.14,709993,1674213193.51,"31-Aug-2026"
"MCX",3200,3289.7,3180.1,3185,3268,2.61,3395408,11033310387.84,"02-Jan-2026"
"JSWSTEEL",1298,1327,1295.3,1293.7,1327,2.57,3648188,4788575086.92,"07-Jul-2026"
"NATIONALUM",398.45,405,397.5,394.45,403.3,2.5,7271899,2923230679.01,"24-Aug-2026"
"HINDPETRO",365,372.6,364.3,363.25,371.95,2.4,4491054,1662678011.88,"14-Aug-2026"
"HINDALCO",1047.95,1058.5,1043.3,1034,1058.5,2.37,4052089,4264540026.27,"10-Jul-2026"
"COCHINSHIP",1480.5,1516,1480.5,1480.5,1514,2.26,850832,1278204913.6,"03-Feb-2026"
"BSE",3250,3346.5,3242.5,3241,3312.7,2.21,4302555,14270800475.1,"10-Jul-2026"
"MANAPPURAM",359.25,369.9,358.3,357.5,365.05,2.11,10506923,3834606618.08,"17-Aug-2026"
"IOC",136,138.5,135.95,135.9,138.5,1.91,9432657,1296235724.94,"14-Aug-2026"
"JINDALSTEL",1135,1149,1130.1,1127.8,1149,1.88,908787,1035871774.08,"21-Aug-2026"
"TATASTEEL",184.15,186.3,183.06,183,186.3,1.8,37794635,6998810509.3,"12-Jun-2026"
"CUMMINSIND",5100,5190,5083,5107.5,5190,1.62,686780,3530859600.4,"17-Jul-2026"
"DLF",678.1,689,678.1,678.1,689,1.61,5098111,3492155053.89,"27-Jul-2026"
"HINDZINC",595.95,614.2,592.85,594.9,604,1.53,12766600,7751113524,"30-Apr-2026"
"NMDC",84.65,86.55,84.51,84.61,85.9,1.52,28667146,2457634426.58,"13-Feb-2026"
