"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"PERSISTENT",4678.6,4977.9,4665,4702.1,4960,5.48,572849,2777910927.21,"27-Jan-2026"
"COFORGE",1282.1,1351.8,1274.6,1282.1,1348.1,5.15,4392391,5826770204.96,"30-Jan-2026"
"OFSS",9015,9464.5,8949.5,9015,9455,4.88,332423,3083073734.65,"07-May-2026"
"TECHM",1363.7,1437.7,1363.7,1370.5,1437,4.85,6204466,8673347110.72,"03-Jul-2026"
"SOLARINDS",17509,18089,17227,17314,18011,4.03,688883,12257150553.57,"08-Jul-2025"
"POLICYBZR",1694.6,1752.7,1674,1688.3,1749,3.6,2211958,3809787980.88,"-"
"MPHASIS",2075.5,2158.1,2063.6,2083.2,2155,3.45,572482,1215035796.8,"09-Jul-2025"
"LTM",3968.4,4094.5,3947.4,3968.4,4094.5,3.18,446689,1807120551.51,"25-May-2026"
"BSE",3940,4134,3940,4000.6,4119,2.96,5049581,20487008545.77,"10-Jul-2026"
"JSWENERGY",521,531,508.1,515.05,530,2.9,5849258,3036700783.28,"05-Jun-2026"
"VMM",118.9,122.4,117.72,118.99,122,2.53,17146891,2068772399.15,"-"
"INFY",1119,1146.1,1118,1119,1145.6,2.38,12095591,13728132917.27,"10-Jun-2026"
"ADANIENSOL",1295,1334.5,1248.2,1303.6,1330.2,2.04,4008681,5175287344.62,"14-Jun-2024"
"VOLTAS",1205.7,1255.4,1198.6,1230.7,1254.9,1.97,1502727,1849856937,"20-Jun-2025"
"VBL",503.8,514.7,494.3,503.8,513.65,1.96,4593635,2325895209.55,"30-Apr-2026"
"PAGEIND",36640,37590,36210,36820,37540,1.96,13482,500629937.22,"11-Feb-2026"
"BHARTIARTL",1904.8,1953.8,1890.4,1905.4,1937.1,1.66,13888305,26848593459.9,"18-Jul-2025"
"DLF",560.75,575,554,566.75,574.85,1.43,3510624,1980342998.4,"28-Jul-2025"
"SUNPHARMA",1878.2,1911,1865,1878.2,1904,1.37,3456152,6548267509.84,"05-Feb-2026"
"WIPRO",190.99,192.75,189.2,190,192.49,1.31,16325519,3121765743.18,"27-Jan-2026"
