"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"KAYNES",3271,3685,3270.2,3227.7,3655,13.24,6028689,21447000830.61,"08-Sep-2023"
"CROMPTON",247.7,266.5,247.7,247.4,265,7.11,6188364,1613058960.24,"24-Jul-2026"
"SWIGGY",272,290.88,271.99,268.47,286.5,6.72,73291848,20956338098.64,"-"
"KPITTECH",610,662.65,606.65,602.45,638.5,5.98,28550031,18118991673.84,"04-Feb-2026"
"DIVISLAB",7428.5,7818.5,7428.5,7425,7814.5,5.25,1158131,8919091107.68,"24-Jul-2026"
"JIOFIN",238,253.9,237.51,237.08,248.75,4.92,48984683,12118810574.2,"11-Aug-2025"
"HINDUNILVR",2050.5,2123,2047,2022.7,2120,4.81,5183374,10875599825.58,"23-Jun-2026"
"PGEL",588,619.05,585.1,585.45,612,4.53,2208477,1337276993.04,"19-Sep-2025"
"INFY",1147,1164.5,1128.4,1105.7,1153.5,4.32,34400369,39641953224.53,"10-Jun-2026"
"PATANJALI",346.75,360.95,341.1,342.95,357,4.1,17753509,6240713483.68,"24-Apr-2026"
"VBL",439.05,448.8,433.5,430,447.3,4.02,13449496,5950326020.32,"31-Jul-2026"
"GLENMARK",2196.4,2267.7,2186.2,2184.6,2264.9,3.68,593720,1324256836.8,"03-Oct-2025"
"KALYANKJIL",612,634.7,609.35,608.35,630.65,3.67,44160878,27523267213.5,"04-Sep-2025"
"NATIONALUM",335,346.1,332,334.55,346,3.42,5431501,1854314441.4,"08-May-2026"
"SAIL",165.86,175.9,165.86,165.85,171.39,3.34,45760047,7879880093.4,"08-Sep-2025"
"JINDALSTEL",1054.4,1099.9,1054.2,1054.4,1088.8,3.26,1960722,2134441969.2,"22-Aug-2025"
"360ONE",1128.3,1170,1113.5,1128.3,1162,2.99,1135914,1302654816.06,"27-Apr-2026"
"HINDALCO",940,964.8,938.15,936.4,964,2.95,2939377,2810426531.01,"10-Jul-2026"
"AMBER",7256,7469,7235,7209,7419,2.91,241556,1782891018.16,"02-Aug-2024"
"BANDHANBNK",169,174.06,168.05,168.84,173.4,2.7,19391311,3331233316.69,"17-Aug-2026"
