"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"POLICYBZR",1839,1845,1718.1,1827.1,1765,-3.4,6638966,11685244056.6,"-"
"PATANJALI",362.55,364.9,354,365,354.45,-2.89,3350173,1198591394.21,"21-Aug-2026"
"PNBHOUSING",1122.1,1147.9,1098.4,1134,1103.5,-2.69,3984908,4470827681.52,"31-Jul-2026"
"FEDERALBNK",342,343.75,332.45,341.8,332.75,-2.65,5320152,1790656760.16,"14-Aug-2026"
"PREMIERENE",885.9,904.3,880,899,880,-2.11,927298,827131270.04,"08-May-2026"
"OIL",485,491,474.25,487.6,477.4,-2.09,1707873,817114758.12,"04-Sep-2026"
"RADICO",4450,4469.8,4380,4466,4380,-1.93,154971,684328690.35,"24-Jul-2026"
"ONGC",235.1,235.65,231.25,236.8,232.43,-1.85,11057104,2572766958.72,"04-Sep-2026"
"PAYTM",1795,1816.3,1752.7,1790,1763,-1.51,4085443,7237035439.06,"-"
"TITAN",4895,4915.5,4838.5,4908.5,4841,-1.38,489304,2380351420.08,"09-Jul-2026"
"MANAPPURAM",318.85,322.15,315,319.9,316.05,-1.2,2149470,683101566,"17-Aug-2026"
"HDFCBANK",717.5,719.4,713,721.5,713,-1.18,21506280,15392689784.4,"19-Jun-2026"
"YESBANK",23.32,23.38,22.91,23.4,23.13,-1.15,69872871,1616858234.94,"03-Jun-2019"
"BANKBARODA",233.6,236.46,232.1,234.98,232.3,-1.14,4575328,1068888127.36,"05-Jun-2026"
"WAAREEENER",2499,2516,2470,2501,2473,-1.12,452921,1127465303.72,"11-Sep-2026"
"ATHERENERG",1550,1567.4,1528,1567.5,1550,-1.12,2512632,3893448915.6,"-"
"COLPAL",1861,1886,1840,1860,1840.3,-1.06,416164,776691034.84,"01-Jun-2026"
"SAGILITY",45.02,45.38,44.45,45.02,44.56,-1.02,10139224,454338627.44,"07-Aug-2026"
"COALINDIA",421.1,422.8,416.55,422.25,418,-1.01,3328400,1394632884,"04-Sep-2026"
"HINDUNILVR",1962,1968.9,1942.2,1962,1942.2,-1.01,1171333,2291525601.22,"23-Jun-2026"
