SYMBOL,PREV. CLOSE,BEST BID QTY,BEST BID PRICE,BEST ASK PRICE,BEST ASK QTY,INDICATIVE EQUILIBRIUM QUANTITY,INDICATIVE EQUILIBRIUM PRICE,CHANGE,%CHANGE,FINAL PRICE,FINAL VOLUME,VALUE (₹ Crores),FFM CAP (₹ Crores),INDICATIVE IMBALANCE QUANTITY AT EQUILIBRIUM PRICE,INDICATIVE IMBALANCE QUANTITY AT MARKET ORDER,52 WEEK HIGH,52 WEEK LOW
YESBANK,"23.40","27,958","23.32","23.33","43,333","-","-","-0.08","-0.34","23.32","3,00,697","0.70","40,849.92","-","-","25.78","17.20"
ATHERENERG,"1,567.50","2","1,549.00","1,550.00","1,814","-","-","-17.50","-1.12","1,550.00","4,431","0.69","30,534.39","-","-","1,744.00","534.50"
LICI,"395.50","7,514","395.50","395.65","21","-","-","-","-","395.50","17,337","0.69","50,033.73","-","-","468.48","360.75"
BAJFINANCE,"1,006.20","193","1,010.00","1,011.00","20","-","-","3.80","0.38","1,010.00","6,595","0.67","2,69,945.47","-","-","1,176.40","787.90"
SWIGGY,"270.50","619","271.00","271.40","300","-","-","0.50","0.18","271.00","23,034","0.62","38,355.18","-","-","474.00","235.75"
MARUTI,"12,166.00","4","12,164.00","12,165.00","8","-","-","-1.00","-0.01","12,165.00","511","0.62","1,58,254.91","-","-","17,370.00","12,159.00"
MOTHERSON,"158.27","2,248","159.05","159.10","109","-","-","0.75","0.47","159.02","38,700","0.62","70,056.06","-","-","173.27","101.01"
ADANIPORTS,"1,723.80","480","1,730.00","1,731.00","48","-","-","7.20","0.42","1,731.00","3,504","0.61","1,27,345.32","-","-","1,891.10","1,292.00"
PFC,"346.00","16,877","346.10","346.65","1","-","-","0.10","0.03","346.10","17,230","0.60","50,254.70","-","-","486.50","329.90"
NATIONALUM,"356.00","1","355.95","356.00","1,568","-","-","-","-","356.00","15,809","0.56","31,834.93","-","-","445.15","198.68"
HINDZINC,"567.50","10","562.80","562.90","1,975","-","-","-4.60","-0.81","562.90","9,982","0.56","26,994.49","-","-","733.00","445.60"
TMPV,"301.00","713","301.00","301.15","10","-","-","-","-","301.00","17,977","0.54","62,736.31","-","-","739.70","294.30"
NYKAA,"325.60","500","326.30","326.50","631","-","-","0.90","0.28","326.50","15,920","0.52","44,559.67","-","-","349.55","227.90"
MCX,"3,211.20","94","3,200.00","3,200.10","176","-","-","-10.10","-0.31","3,201.10","1,597","0.51","81,434.03","-","-","3,480.00","1,521.40"
COCHINSHIP,"1,319.00","609","1,312.00","1,312.50","145","-","-","-7.00","-0.53","1,312.00","3,892","0.51","11,074.07","-","-","1,979.90","1,187.00"
DIXON,"13,181.00","119","13,200.00","13,220.00","25","-","-","19.00","0.14","13,200.00","377","0.50","54,686.04","-","-","18,471.00","9,600.00"
