"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"INOXWIND",89.48,91.11,83.31,93.02,83.92,-9.78,52246079,4498387401.9,"29-Jul-2025"
"GVT&D",5100,5148,4694.5,5148.6,4750,-7.75,1353218,6566639198.98,"22-Aug-2025"
"SUZLON",56.81,56.9,53.5,56.99,53.75,-5.69,153164168,8394928048.08,"03-Sep-2024"
"POWERINDIA",38700,38785,36225,38445,36355,-5.44,279448,10331555842.4,"13-Aug-2025"
"IREDA",132.58,132.59,125.52,133.25,126.13,-5.34,22745321,2910946181.58,"02-Apr-2026"
"LTF",282,285.45,270,286.6,271.45,-5.29,6477498,1781376724.98,"22-May-2026"
"LODHA",941.15,942,887.6,938.1,891,-5.02,2050463,1865552246.66,"22-Aug-2025"
"ADANIPOWER",245,245.69,231.75,243.37,232.9,-4.3,46168551,10927634336.19,"22-Sep-2025"
"VEDL",355.1,356.65,335.05,352.6,338,-4.14,21597311,7404206130.13,"30-Apr-2026"
"DABUR",441,442,423.5,443.4,425.05,-4.14,3233273,1387106449.73,"07-Nov-2025"
"OBEROIRLTY",1707.2,1711.6,1641.1,1707.1,1641.1,-3.87,304709,505999765.4,"14-May-2026"
"ASHOKLEY",157.03,157.6,149.42,155.44,149.8,-3.63,34094824,5203892987.12,"03-Jun-2026"
"DELHIVERY",453,453.25,435.25,452.35,436,-3.61,5570313,2440744047.21,"20-Sep-2023"
"SIEMENS",3850,3856.7,3681.7,3844,3710.3,-3.48,526584,1971746395.44,"07-Apr-2025"
"ABCAPITAL",366.5,367.8,349.5,363.3,350.75,-3.45,2893132,1025586362.68,"16-Aug-2018"
"GMRAIRPORT",101,102.23,96.7,100.37,96.92,-3.44,16274965,1606501795.15,"05-Sep-2024"
"SWIGGY",259.1,259.9,248.75,257.9,249.25,-3.35,6241666,1576956914.9,"-"
"ALKEM",5443.5,5474,5280,5498,5318,-3.27,215845,1155353531.5,"20-Feb-2026"
"CUMMINSIND",5979.5,5979.5,5662.5,5881,5688.5,-3.27,597514,3427740638.38,"11-Feb-2026"
"MFSL",1674,1679.9,1618.6,1674,1620,-3.23,838434,1384514448.54,"16-Aug-2024"
