"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"NMDC",89.1,93.7,87.5,87.99,93.55,6.32,73822462,6694959078.78,"13-Feb-2026"
"NBCC",101.7,105.75,99.06,100.26,104.59,4.32,47020277,4860956236.26,"25-Feb-2026"
"TECHM",1495.2,1562.5,1495.2,1483.9,1539,3.71,5243403,8097544554.99,"03-Jul-2026"
"INFY",1175,1217,1173.7,1160.9,1203.5,3.67,19439281,23428415854.01,"10-Jun-2026"
"LTM",4081.8,4273.4,4081.8,4061.6,4210,3.65,642807,2711604192.66,"25-May-2026"
"PERSISTENT",5238,5498,5226.5,5194.3,5380,3.57,1017773,5520665372.98,"27-Jan-2026"
"COALINDIA",456.55,477,456.55,457.9,473.25,3.35,47716050,22355446585.5,"18-Feb-2026"
"NATIONALUM",425.45,436.75,421.4,424.45,436.5,2.84,9695405,4172514495.8,"08-May-2026"
"COFORGE",1438.2,1498.2,1438.1,1421.8,1458,2.55,5877548,8676495133.08,"30-Jan-2026"
"KPITTECH",776.05,805.85,776.05,771.95,789.75,2.31,2194101,1738978629.57,"04-Feb-2026"
"OFSS",10069,10291,10063,9964,10175,2.12,362417,3692427617.78,"07-May-2026"
"LAURUSLABS",1372.4,1398.8,1358,1362,1386.6,1.81,2996483,4140779928.04,"08-May-2026"
"JSWSTEEL",1279.5,1304.8,1279.5,1278,1300.6,1.77,1388232,1797302323.44,"08-Jul-2025"
"EXIDEIND",390.45,394.7,384.55,386.5,393,1.68,3705765,1445026004.1,"03-Jul-2026"
"TCS",2284,2335,2280,2258.9,2296.4,1.66,7505092,17267790724.52,"25-May-2026"
"NYKAA",262.65,268.4,259.65,262.3,266,1.41,5559761,1472113517.58,"10-Nov-2022"
"HINDALCO",1130,1150,1127.2,1126.7,1142,1.36,6934502,7894999872.02,"08-Aug-2025"
"MPHASIS",2286,2373,2282.8,2271.4,2302,1.35,735857,1722376328.48,"09-Jul-2025"
"OIL",479.75,484.95,476.25,476.15,482.35,1.3,2081113,1000807241.7,"18-Feb-2026"
"INDIGO",4525,4633.9,4445.8,4405,4460,1.25,1665946,7522978990.04,"13-Aug-2025"
