SYMBOL,PREV. CLOSE,BEST BID QTY,BEST BID PRICE,BEST ASK PRICE,BEST ASK QTY,INDICATIVE EQUILIBRIUM QUANTITY,INDICATIVE EQUILIBRIUM PRICE,CHANGE,%CHANGE,FINAL PRICE,FINAL VOLUME,VALUE (₹ Crores),FFM CAP (₹ Crores),INDICATIVE IMBALANCE QUANTITY AT EQUILIBRIUM PRICE,INDICATIVE IMBALANCE QUANTITY AT MARKET ORDER,52 WEEK HIGH,52 WEEK LOW
HDFCBANK,"708.25","63,852","722.40","722.50","309","-","-","14.15","2.00","722.40","16,16,833","116.80","11,04,091.01","-","-","1,020.50","681.90"
RELIANCE,"1,257.50","85,652","1,252.50","1,254.70","2,000","-","-","-5.00","-0.40","1,252.50","5,76,736","72.24","8,43,776.86","-","-","1,611.80","1,249.80"
ICICIBANK,"1,379.30","173","1,379.00","1,379.30","3,447","-","-","-","-","1,379.30","4,85,215","66.93","9,85,899.76","-","-","1,480.00","1,187.60"
INFY,"1,037.70","1,708","1,084.40","1,085.00","2,194","-","-","47.30","4.56","1,085.00","2,89,554","31.42","3,79,590.85","-","-","1,728.00","982.40"
TMPV,"301.10","2,03,859","320.00","320.10","100","-","-","18.90","6.28","320.00","7,96,892","25.50","66,696.41","-","-","739.70","294.30"
BHARTIARTL,"1,831.10","5","1,842.00","1,844.00","2,740","-","-","12.90","0.70","1,844.00","1,18,689","21.89","5,72,676.84","-","-","2,174.50","1,740.50"
SOLARINDS,"22,290.00","302","22,320.00","22,350.00","6","-","-","30.00","0.13","22,320.00","9,179","20.49","54,218.66","-","-","22,625.00","11,646.00"
TCS,"2,200.80","18,605","2,275.50","2,276.00","101","-","-","74.70","3.39","2,275.50","67,823","15.43","2,31,673.80","-","-","3,350.00","1,976.80"
BSE,"3,384.00","5,663","3,417.00","3,417.80","100","-","-","33.00","0.98","3,417.00","37,420","12.79","1,39,241.31","-","-","4,446.80","2,021.50"
SBIN,"995.70","839","994.00","994.90","100","-","-","-1.70","-0.17","994.00","1,25,956","12.52","4,09,722.10","-","-","1,234.70","819.00"
AXISBANK,"1,246.00","26","1,252.20","1,254.00","472","-","-","8.00","0.64","1,254.00","94,196","11.81","3,59,479.83","-","-","1,418.30","1,069.00"
APOLLOHOSP,"8,836.00","1","8,938.00","8,939.50","1,000","-","-","101.00","1.14","8,937.00","13,014","11.63","91,713.53","-","-","9,050.00","6,696.50"
SHRIRAMFIN,"1,028.60","1","1,044.00","1,044.90","8,192","-","-","16.30","1.58","1,044.90","94,773","9.90","1,45,936.56","-","-","1,153.70","602.80"
LT,"3,930.70","1","3,950.70","3,959.00","968","-","-","28.30","0.72","3,959.00","24,468","9.69","4,62,126.41","-","-","4,440.00","3,288.10"
ETERNAL,"323.50","1","327.20","327.50","3,126","-","-","4.00","1.24","327.50","2,84,496","9.32","2,36,104.71","-","-","368.45","212.60"
BAJFINANCE,"1,034.50","948","1,035.00","1,036.00","107","-","-","0.50","0.05","1,035.00","74,668","7.73","2,76,627.29","-","-","1,176.40","787.90"
