"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"HCLTECH",1252,1290,1250,1206.1,1253.7,3.95,4443097,5663571314.93,"17-Jul-2026"
"INFY",1085,1097.7,1071.7,1037.7,1077,3.79,14814152,16052466965.68,"10-Jun-2026"
"MPHASIS",2353,2461.1,2353,2295,2378,3.62,1176827,2827997658.89,"08-Jul-2026"
"DABUR",379,390.95,376.75,376,384.9,2.37,9936064,3835320704,"17-Jul-2026"
"TCS",2275.5,2323,2251,2200.8,2251,2.28,5403753,12406260362.58,"15-Jul-2026"
"TECHM",1588,1633.2,1575.9,1541,1575.9,2.26,2576734,4138363640.7,"03-Jul-2026"
"TATAELXSI",3450,3532.1,3418.1,3383,3440,1.68,424457,1480022135.02,"10-Jun-2026"
"LTM",4404.3,4568.9,4323.3,4275,4346.6,1.67,663151,2961532893.35,"25-May-2026"
"KPITTECH",560,580.95,560,553.75,563,1.67,4090212,2343650573.88,"12-Aug-2026"
"WIPRO",172.2,173.35,169.01,167.4,170,1.55,11713417,2009085283.84,"27-Jul-2026"
"ONGC",234.9,236.3,233.33,232.5,235.95,1.48,14505725,3405509058.25,"04-Sep-2026"
"ALKEM",5170,5290,5140.5,5087.5,5161,1.44,253037,1326584428.05,"07-Aug-2026"
"COLPAL",1797.4,1846.6,1788.8,1797.4,1820.3,1.27,670434,1227061828.5,"01-Jun-2026"
"HDFCBANK",722.4,730.75,715.05,708.25,716.55,1.17,50323560,36372359461.2,"19-Jun-2026"
"CAMS",711.3,732.6,708.05,711,717.35,0.89,1972856,1420574691.36,"12-Aug-2026"
"SAGILITY",45.85,46.62,45.21,45.2,45.6,0.88,23893326,1099092996,"07-Aug-2026"
"NAUKRI",1268.1,1310,1261.5,1250.8,1261.5,0.86,1716943,2203078241.02,"24-Jul-2026"
"TMPV",320,320.15,303.5,301.1,303.6,0.83,18996550,5923884152,"19-Jun-2026"
"HINDUNILVR",1944,1969.4,1933.8,1927,1938.1,0.58,1714735,3353764449.75,"23-Jun-2026"
"KALYANKJIL",610,616,604.2,601.15,604.2,0.51,8521629,5207226616.74,"11-Sep-2026"
