"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"SOLARINDS",22320,22700,19065,22290,19250,-13.64,1304309,26301038821.57,"28-Jul-2026"
"GVT&D",4520,4520,4191.6,4548.1,4246.9,-6.62,1106294,4761788075.38,"21-Aug-2026"
"CGPOWER",909,911.3,858,909,858,-5.61,3473817,3034830745.71,"30-Jan-2026"
"SBICARD",652.1,655.75,617.1,655.2,618.6,-5.59,1750647,1101489585.93,"11-Mar-2026"
"MAHABANK",84.2,84.61,79.56,84.2,79.56,-5.51,14568929,1191155635.04,"05-Jun-2026"
"PRESTIGE",1498.2,1514.9,1417,1498,1417,-5.41,409922,593997474.1,"13-Aug-2026"
"BEL",402,403.65,382.9,404.35,382.9,-5.3,16726930,6528186240.4,"13-Aug-2026"
"ATHERENERG",1660.7,1662,1545.5,1656,1568.5,-5.28,3711982,5906765597.14,"-"
"GMRAIRPORT",98,98.28,92.92,97.98,92.97,-5.11,10370150,978216249.5,"05-Sep-2024"
"GODREJPROP",1754,1759.7,1657.4,1748,1659.3,-5.07,1070825,1805903529.5,"28-Jul-2026"
"PGEL",543.75,545,515.15,545,518,-4.95,837288,441326131.92,"18-Sep-2026"
"BLUESTARCO",1559.5,1562.8,1475.3,1558,1483,-4.81,509050,769367989,"17-Jul-2026"
"SHRIRAMFIN",1044.9,1044.9,979.8,1028.6,979.8,-4.74,5925389,5906842532.43,"03-Jul-2026"
"SIEMENS",3957.4,3964,3770,3957,3770,-4.73,347354,1334884895.54,"29-Jul-2026"
"LODHA",1128,1128,1064.8,1116.9,1064.8,-4.66,1479736,1611136556.8,"07-Aug-2026"
"BDL",1191,1194.6,1123,1190,1135,-4.62,1293156,1486444027.32,"09-Feb-2026"
"MAZDOCK",2339,2346.9,2225.1,2339,2236,-4.4,762211,1730752517.7,"20-Aug-2026"
"ASHOKLEY",164.5,165.36,156.65,163.75,156.65,-4.34,17909948,2857890402.36,"03-Jun-2026"
"ADANIENT",3080,3083.7,2921.3,3060,2928.6,-4.29,1782504,5301523396.8,"12-Jun-2026"
"PAYTM",1808,1811,1730,1807.5,1730,-4.29,3225917,5682968942.22,"-"
