"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"BIOCON",427.35,444.5,422.2,410.95,437,6.34,88998645,43694006925.68,"03-Jul-2026"
"CONCOR",468.1,496,468.1,463.95,492.65,6.19,14171169,6929276505.93,"09-Feb-2026"
"ADANIPOWER",216.35,228.94,216.3,215.46,225.98,4.88,55601636,12473671020.24,"22-Sep-2025"
"MCX",2780,2899,2779,2782.1,2899,4.2,3673525,10555396529.25,"02-Jan-2026"
"KALYANKJIL",515.55,535,507.3,510.65,531,3.99,95814205,50366653142.35,"04-Sep-2025"
"ADANIGREEN",1545,1631.5,1533,1546.5,1604,3.72,4833988,7711080977.84,"14-Jun-2024"
"DIVISLAB",6960,7208.5,6909,6938.5,7196,3.71,1093244,7748749485.4,"24-Jul-2026"
"SBICARD",616,641.8,612.65,618.7,640.95,3.6,7092271,4475364846.42,"11-Mar-2026"
"SUPREMEIND",3285,3436.8,3275.1,3334.6,3430,2.86,273774,931015028.58,"25-Jun-2026"
"ADANIENSOL",1644.1,1713.9,1636.6,1644.6,1688.8,2.69,2237295,3763018325.25,"14-Jun-2024"
"NATIONALUM",357.3,366.9,357.2,355.2,364.05,2.49,11143777,4052768819.36,"08-May-2026"
"POLYCAB",9304.5,9564,9228,9306.5,9530,2.4,464552,4389370672.72,"19-Jun-2026"
"OIL",435.9,442.3,434.55,431.05,440.45,2.18,5996484,2634135491.52,"18-Feb-2026"
"ASTRAL",1344.4,1378,1332.1,1330.9,1356.9,1.95,956486,1303269564.16,"11-Nov-2025"
"POWERINDIA",31550,32585,31300,31915,32460,1.71,87083,2794732948.25,"21-Aug-2026"
"BHARTIARTL",1885,1941.1,1885,1901.8,1934,1.69,6964062,13446141268.98,"18-Jul-2025"
"BLUESTARCO",1716.1,1753.8,1701.1,1716.1,1745,1.68,866904,1502335962.96,"17-Jul-2026"
"ABB",6778.5,6920,6744,6807,6920,1.66,187662,1284818499.9,"30-Apr-2026"
"PAGEIND",40000,40630,39675,39955,40540,1.46,24622,992546798.36,"27-May-2026"
"APOLLOHOSP",8750,8919.5,8739,8782.5,8910,1.45,412508,3661392132.44,"16-Feb-2026"
