"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"TORNTPHARM",4471.6,4611.5,4431.1,4463.7,4588.3,2.79,830928,3797897681.76,"29-May-2026"
"IDEA",13.78,14.49,13.73,13.88,14.23,2.52,802424304,11442570575.04,"20-Aug-2024"
"HYUNDAI",1885,1951,1863,1891,1937.4,2.45,933453,1799118643.14,"05-Aug-2025"
"VEDL",295.05,310,292.8,299.3,306,2.24,21784565,6654748916.2,"30-Apr-2026"
"M&M",2930,3012.2,2900.4,2952.5,3006.7,1.84,3177902,9447616634.82,"04-Jul-2025"
"MCX",2715,2795,2709.9,2743.8,2794,1.83,1827023,5068508936.37,"02-Jan-2026"
"ICICIBANK",1286.5,1333,1286.5,1293.3,1313.9,1.59,35919374,47294321358.32,"12-Aug-2025"
"MANAPPURAM",285.25,293.45,282.55,288.25,291.8,1.23,6526468,1879035401.88,"11-May-2026"
"LUPIN",2247.2,2286,2246.2,2247.2,2274,1.19,1038391,2357832908.06,"25-Jul-2025"
"KOTAKBANK",386,399.9,384.55,388.1,392.6,1.16,16135289,6367146392.29,"14-Jan-2026"
"360ONE",1041.7,1071.7,1031.3,1052,1063,1.05,690962,726422169.84,"27-Apr-2026"
"AUBANK",952,972.4,947.25,959.2,968.25,0.94,1515822,1461843578.58,"04-Jul-2025"
"ZYDUSLIFE",1095,1110.4,1091.2,1098.3,1108,0.88,728343,804025121.13,"24-Jul-2026"
"INDUSINDBK",883.85,897.6,881.75,883.95,891.6,0.87,1768283,1575876126.77,"25-Jun-2026"
"AUROPHARMA",1458,1473.7,1457.1,1453.6,1466,0.85,625882,918006164.68,"17-Apr-2026"
"KPITTECH",726,742.45,718.2,732.95,739.2,0.85,764143,558955321.64,"04-Feb-2026"
"JSWSTEEL",1266,1293.4,1261,1269.8,1280,0.8,1915489,2454028732.35,"08-Jul-2025"
"SUNPHARMA",1780,1805,1778.7,1786.4,1799,0.71,1858093,3334422212.22,"05-Feb-2026"
"LODHA",861.55,871.55,848,862,868,0.7,893056,771582522.88,"22-Aug-2025"
"RBLBANK",355,366.4,352.8,356.95,359.4,0.69,6472883,2334639440.44,"08-Sep-2025"
