"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"INOXWIND",71.9,74.56,70.54,70.59,74,4.83,39746918,2876484455.66,"29-Jul-2025"
"RBLBANK",397.05,410.7,395.65,389.4,408.1,4.8,19862463,8055420494.28,"14-Aug-2026"
"MAHABANK",83.15,87.35,82.82,82.4,86.32,4.76,48646685,4196749514.95,"05-Jun-2026"
"SOLARINDS",20635,21645,20630,20600,21500,4.37,481869,10322111030.31,"28-Jul-2026"
"BSE",3199.9,3316.5,3198.9,3168,3306.1,4.36,6036100,19720481949,"10-Jul-2026"
"SBICARD",641,667.4,641,635.15,661,4.07,3785886,2500312690.98,"11-Mar-2026"
"GMRAIRPORT",95,96.87,94.31,93.99,96.87,3.06,11291487,1082063199.21,"05-Sep-2024"
"KEI",5209,5380,5171.5,5170,5327,3.04,536022,2839683749.4,"28-Jan-2026"
"GVT&D",4276,4367,4242,4240,4362,2.88,598422,2594075590.92,"21-Aug-2026"
"IDFCFIRSTB",85.09,88.1,85.04,85.09,87.5,2.83,48178595,4195392052.6,"07-Aug-2026"
"BLUESTARCO",1458.8,1508.9,1455.3,1445.3,1485.7,2.8,480553,715788499.03,"17-Jul-2026"
"INDUSINDBK",980,1004.8,977.6,978,1004.8,2.74,1959777,1951977087.54,"25-Jun-2026"
"UNOMINDA",1244,1269,1235.8,1236,1269,2.67,638835,797099982.9,"29-May-2026"
"ANGELONE",280.35,288,280.35,279.25,286,2.42,4732927,1347748292.52,"21-Jul-2026"
"LICHSGFIN",542,555.95,536.6,541.25,554,2.36,5798155,3183013150.35,"21-Aug-2026"
"VOLTAS",1158,1183,1151.7,1152.1,1178,2.25,832678,974158318.98,"12-Jun-2026"
"SONACOMS",785.5,804.9,785.05,782.65,800,2.22,1508741,1201953605.06,"25-Jun-2026"
"LODHA",1209.8,1244.4,1205.3,1208.3,1234,2.13,1694352,2078309106.72,"07-Aug-2026"
"MFSL",1510,1540,1510,1505,1537,2.13,266041,408178725.07,"16-Aug-2024"
"LICI",411.8,417,411,408.25,416.9,2.12,5101486,2118034957.48,"25-Jun-2026"
