"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"HEROMOTOCO",5477,5485,5167,5555,5300,-4.59,1746616,9193592774.56,"24-Jul-2026"
"VOLTAS",1199.9,1199.9,1151,1205,1152.1,-4.39,1979841,2302772865.51,"12-Jun-2026"
"KEI",5335,5335,5132,5348,5170,-3.33,666046,3460808318.3,"28-Jan-2026"
"SONACOMS",803,803,773.4,809.5,782.65,-3.32,3609175,2818296482.25,"25-Jun-2026"
"EICHERMOT",7860,7893,7507.5,7970,7711.5,-3.24,1117429,8520329079.26,"31-Jul-2026"
"BLUESTARCO",1491,1491,1432.5,1490.9,1445.3,-3.06,657740,954097911.8,"17-Jul-2026"
"UNOMINDA",1270,1272,1228.3,1274.4,1236,-3.01,1277959,1583800147.88,"29-May-2026"
"BOSCHLTD",47780,48090,46410,48550,47250,-2.68,50831,2378603096.54,"04-Aug-2026"
"SWIGGY",270,270.1,264.55,275,267.7,-2.65,16992910,4533878317.1,"-"
"GODFRYPHLP",2072,2074.8,2025.4,2078.3,2025.4,-2.55,226069,460638194.4,"11-Aug-2026"
"WIPRO",180,180.39,176.8,181.7,177.09,-2.54,12045988,2142378965.8,"27-Jul-2026"
"HAVELLS",1220,1220,1183,1222.8,1193,-2.44,752057,897602591.21,"22-May-2026"
"ATHERENERG",1722,1737,1641,1725.6,1686.1,-2.29,6307031,10726304551.39,"-"
"BSE",3222.6,3265,3131.5,3242,3168,-2.28,6508905,20697797187.6,"10-Jul-2026"
"SUZLON",46.39,46.39,45.46,46.5,45.46,-2.24,52599122,2401149919.3,"03-Sep-2024"
"M&M",3223.5,3229.6,3142.5,3259,3190,-2.12,2882845,9161421953.95,"03-Jul-2026"
"AUROPHARMA",1675,1695,1639.6,1683.3,1648.2,-2.09,816323,1366157356.65,"17-Apr-2026"
"SUPREMEIND",3580,3584.1,3506,3605,3530.6,-2.06,177612,627107121.24,"25-Jun-2026"
"GVT&D",4280,4282.5,4183.2,4324,4240,-1.94,836072,3529051551.28,"21-Aug-2026"
"MFSL",1531.5,1531.5,1494,1534.7,1505,-1.94,547750,829802907.5,"16-Aug-2024"
