"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"JSWENERGY",515,540.75,511.4,518,539.8,4.21,3634720,1941194910.4,"05-Jun-2026"
"COALINDIA",408.2,422.4,406.5,401.6,417.85,4.05,34128070,14236183119.8,"04-Sep-2026"
"TATAPOWER",349,364,347.15,350.55,364,3.84,12228879,4385153720.61,"23-Jun-2026"
"IDEA",14.12,14.72,13.93,14.06,14.53,3.34,526686856,7589557594.96,"20-Aug-2024"
"KALYANKJIL",568.6,595.45,556.5,573,590,2.97,21211204,12282771900.28,"04-Sep-2025"
"SOLARINDS",19970,20610,19810,20060,20600,2.69,139007,2817078330.11,"28-Jul-2026"
"ADANIGREEN",1244,1303,1236.4,1265,1296,2.45,2634168,3374975066.64,"14-Jun-2024"
"RBLBANK",377.6,392.7,375,380.5,389.4,2.34,4296931,1659388813.58,"14-Aug-2026"
"VBL",400.6,416.95,400.5,405.85,415,2.25,7802319,3214711474.38,"31-Jul-2026"
"UPL",562.95,580.7,560.25,567.1,578.45,2,4049686,2318121260.12,"17-Jul-2026"
"VMM",106.55,109.49,105.21,106.55,108.57,1.9,13752327,1488276827.94,"-"
"NTPC",324,331.1,321,327.5,330,1.85,11991346,3927045901.54,"02-Sep-2026"
"SAIL",192.21,198.39,190.27,193,196.5,1.81,18746876,3642143069.28,"08-Sep-2025"
"OIL",495,499.5,484.15,490,498.15,1.66,4334029,2131302101.04,"04-Sep-2026"
"ADANIPOWER",202.59,207.7,200.12,204.36,207.7,1.63,18171438,3726598505.04,"22-Sep-2025"
"INOXWIND",69.15,71.31,68,69.5,70.59,1.57,13546948,947202604.16,"29-Jul-2025"
"PNB",114.65,117.25,113.92,115.22,117,1.54,21094953,2457562024.5,"12-Jun-2026"
"ADANIPORTS",1637.1,1676.7,1632.1,1647.5,1672.7,1.53,2338933,3890768266.84,"12-Jun-2026"
"MANKIND",2351,2391.5,2341.2,2356.5,2391.5,1.49,333941,792789291.64,"08-Aug-2025"
"PAGEIND",35500,36325,35220,35675,36200,1.47,19407,698581164.45,"19-Aug-2026"
