"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"PATANJALI",339.05,367.4,337.5,338.55,365,7.81,28837966,10255645848.58,"21-Aug-2026"
"POLICYBZR",1739.9,1847,1710.1,1736,1827.1,5.25,2054206,3687135433.52,"-"
"MFSL",1425.9,1491.7,1423.6,1425.9,1487.6,4.33,929997,1361394708.39,"16-Aug-2024"
"PAYTM",1830,1855.5,1731.1,1730,1790,3.47,15413025,27429481680.75,"-"
"HDFCLIFE",522,534,517,516.1,530.2,2.73,3970025,2091925273.25,"19-Jun-2026"
"ICICIPRULI",458,474,456.95,457.6,470,2.71,767677,358413037.76,"05-Jun-2026"
"SBILIFE",1656.4,1705,1656.4,1654.1,1697.9,2.65,835034,1406422715.18,"06-Mar-2026"
"RADICO",4338.7,4466,4321.6,4360,4466,2.43,278614,1227400543.32,"24-Jul-2026"
"SBIN",976,991.4,973.2,968,991.4,2.42,8609956,8479945664.4,"15-May-2026"
"MARICO",795.5,819.9,792.15,791.25,810.15,2.39,3237626,2633808751,"30-Jul-2026"
"ITC",259.4,264.9,259.3,258,264.15,2.38,15199856,3995282149.6,"27-May-2026"
"OBEROIRLTY",1660,1717.3,1660,1668.5,1706.9,2.3,599621,1020159192.14,"23-Jul-2026"
"UNOMINDA",1164,1188.3,1160,1159.7,1186,2.27,367236,432497509.56,"29-May-2026"
"COLPAL",1833.9,1900.1,1830.1,1820.3,1860,2.18,1465224,2745185077.44,"01-Jun-2026"
"LODHA",1050,1090.6,1047.5,1064.8,1087.4,2.12,1204027,1290042688.88,"07-Aug-2026"
"IOC",132.79,134.97,131.7,132.03,134.75,2.06,10071835,1346503621.15,"14-Aug-2026"
"UNIONBANK",176.54,179.35,175.07,175,178.2,1.83,9588072,1702745706.48,"03-Jul-2026"
"PNB",114.73,117.48,114.63,114.7,116.8,1.83,18494065,2155483275.75,"12-Jun-2026"
"MUTHOOTFIN",2726,2804.6,2725.2,2722.3,2771.4,1.8,632020,1755568274.2,"17-Apr-2026"
"TIINDIA",2514,2609,2482,2525,2566.6,1.65,188014,478127122.56,"07-Aug-2026"
