SYMBOL,PREV. CLOSE,BEST BID QTY,BEST BID PRICE,BEST ASK PRICE,BEST ASK QTY,INDICATIVE EQUILIBRIUM QUANTITY,INDICATIVE EQUILIBRIUM PRICE,CHANGE,%CHANGE,FINAL PRICE,FINAL VOLUME,VALUE (₹ Crores),FFM CAP (₹ Crores),INDICATIVE IMBALANCE QUANTITY AT EQUILIBRIUM PRICE,INDICATIVE IMBALANCE QUANTITY AT MARKET ORDER,52 WEEK HIGH,52 WEEK LOW
PAYTM,"1,730.00","2","1,827.00","1,830.00","15,936","-","-","100.00","5.78","1,830.00","4,36,686","79.91","76,983.23","-","-","1,840.00","930.60"
HDFCBANK,"716.55","55","714.60","714.90","57,796","-","-","-1.65","-0.23","714.90","3,28,464","23.48","10,92,628.27","-","-","1,020.50","681.90"
TCS,"2,251.00","5","2,265.00","2,270.00","1,842","-","-","19.00","0.84","2,270.00","41,736","9.47","2,31,113.83","-","-","3,350.00","1,976.80"
BHARTIARTL,"1,830.40","16","1,835.00","1,835.80","932","-","-","5.40","0.30","1,835.80","37,008","6.79","5,70,130.23","-","-","2,174.50","1,740.50"
RELIANCE,"1,235.30","4,784","1,243.00","1,243.10","19","-","-","7.70","0.62","1,243.00","52,860","6.57","8,37,376.95","-","-","1,611.80","1,235.30"
ICICIBANK,"1,350.40","6","1,357.20","1,359.00","2,465","-","-","8.60","0.64","1,359.00","43,045","5.85","9,71,435.18","-","-","1,480.00","1,187.60"
SBIN,"968.00","13","975.10","976.00","1,418","-","-","8.00","0.83","976.00","52,350","5.11","4,02,302.59","-","-","1,234.70","821.10"
INFY,"1,077.00","131","1,082.50","1,082.90","600","-","-","5.50","0.51","1,082.50","42,369","4.59","3,78,716.22","-","-","1,728.00","982.40"
SOLARINDS,"19,250.00","94","19,400.00","19,410.00","404","-","-","150.00","0.78","19,400.00","2,117","4.11","47,125.53","-","-","22,700.00","11,646.00"
YESBANK,"23.07","500","23.57","23.58","1,14,934","-","-","0.51","2.21","23.58","14,86,362","3.50","41,305.36","-","-","25.78","17.20"
HINDALCO,"958.70","1,325","956.40","958.00","25","-","-","-2.30","-0.24","956.40","33,501","3.20","1,38,089.79","-","-","1,176.00","731.95"
SHRIRAMFIN,"979.80","547","978.60","979.00","1,061","-","-","-0.80","-0.08","979.00","28,952","2.83","1,36,732.60","-","-","1,153.70","603.15"
ATHERENERG,"1,568.50","1","1,556.50","1,557.90","107","-","-","-10.60","-0.68","1,557.90","16,309","2.54","30,690.02","-","-","1,744.00","534.50"
DIXON,"13,180.00","437","12,985.00","12,990.00","25","-","-","-195.00","-1.48","12,985.00","1,871","2.43","53,770.30","-","-","18,471.00","9,600.00"
IDEA,"14.45","68,807","14.47","14.48","3,13,123","-","-","0.03","0.21","14.48","15,81,998","2.29","39,753.26","-","-","15.79","7.65"
ONGC,"235.95","100","236.40","236.45","37,025","-","-","0.50","0.21","236.45","94,991","2.25","91,592.02","-","-","307.50","227.65"
BEL,"382.90","1,965","384.05","384.80","200","-","-","1.15","0.30","384.05","55,125","2.12","1,37,170.45","-","-","473.45","380.45"
BSE,"3,310.00","71","3,309.00","3,310.00","707","-","-","-","-","3,310.00","6,136","2.03","1,34,881.10","-","-","4,446.80","2,021.50"
LT,"3,850.70","4","3,842.00","3,844.00","444","-","-","-6.50","-0.17","3,844.20","5,277","2.03","4,48,726.03","-","-","4,440.00","3,288.10"
M&M,"3,029.50","111","3,044.60","3,049.50","2","-","-","15.10","0.50","3,044.60","5,638","1.72","2,71,055.28","-","-","3,839.90","2,896.00"
ITC,"258.00","231","259.25","259.40","195","-","-","1.40","0.54","259.40","60,674","1.57","2,49,359.90","-","-","426.40","255.50"
VEDL,"257.00","10","255.80","256.00","5,575","-","-","-1.00","-0.39","256.00","59,391","1.52","43,290.41","-","-","795.00","249.70"
ADANIPOWER,"202.00","175","202.05","202.10","417","-","-","0.10","0.05","202.10","73,399","1.48","83,624.57","-","-","254.20","125.20"
HAL,"4,695.00","1","4,686.00","4,690.00","1,237","-","-","-5.00","-0.11","4,690.00","3,037","1.42","88,724.35","-","-","5,149.90","3,479.10"
CGPOWER,"858.00","10,017","858.00","860.00","50","-","-","-","-","858.00","15,148","1.30","58,685.22","-","-","980.90","525.50"
ADANIPORTS,"1,713.80","11","1,722.40","1,722.90","1,746","-","-","9.10","0.53","1,722.90","7,377","1.27","1,26,749.42","-","-","1,891.10","1,292.00"
SUZLON,"42.90","25","42.86","42.90","1,54,910","-","-","-","-","42.90","2,90,199","1.24","52,044.01","-","-","61.50","38.19"
BHEL,"412.85","200","415.20","415.45","337","-","-","2.60","0.63","415.45","29,364","1.22","60,392.90","-","-","446.50","228.30"
TATASTEEL,"183.65","27,561","183.65","183.70","108","-","-","-","-","183.65","64,480","1.18","1,51,381.97","-","-","224.40","160.06"
HEROMOTOCO,"5,166.00","13","5,191.50","5,200.00","26","-","-","34.00","0.66","5,200.00","2,219","1.15","67,332.49","-","-","6,388.50","4,671.50"
ADANIENT,"2,928.60","20","2,955.00","2,957.00","204","-","-","28.40","0.97","2,957.00","3,861","1.14","88,526.70","-","-","3,245.00","1,753.00"
TITAN,"4,856.00","16","4,880.00","4,880.50","10","-","-","24.00","0.49","4,880.00","1,967","0.96","2,00,914.89","-","-","5,186.70","3,303.10"
KAYNES,"3,392.00","3","3,391.00","3,392.00","1,646","-","-","-","-","3,392.00","2,614","0.89","10,581.02","-","-","7,705.00","2,995.00"
MARUTI,"12,231.00","555","12,231.00","12,248.00","1","-","-","-","-","12,231.00","718","0.88","1,59,113.51","-","-","17,370.00","12,201.00"
JIOFIN,"225.60","221","226.50","226.58","184","-","-","0.90","0.40","226.50","37,376","0.85","74,108.90","-","-","321.60","223.30"
ETERNAL,"315.25","1,000","316.20","316.25","689","-","-","1.00","0.32","316.25","26,561","0.84","2,27,994.24","-","-","368.45","212.60"
MCX,"3,173.50","57","3,170.00","3,170.20","76","-","-","-3.30","-0.10","3,170.20","2,619","0.83","80,647.95","-","-","3,480.00","1,521.40"
WIPRO,"170.00","18,857","170.02","170.05","10","-","-","0.02","0.01","170.02","48,549","0.83","45,919.99","-","-","273.10","165.16"
HCLTECH,"1,253.70","12","1,260.30","1,262.50","2,369","-","-","8.80","0.70","1,262.50","6,444","0.81","1,32,731.20","-","-","1,780.10","1,030.00"
MAZDOCK,"2,236.00","129","2,236.00","2,237.50","1","-","-","-","-","2,236.00","3,565","0.80","16,939.58","-","-","3,061.40","2,057.40"
BAJFINANCE,"1,009.20","677","1,010.50","1,011.00","11","-","-","1.30","0.13","1,010.50","7,810","0.79","2,70,079.11","-","-","1,176.40","787.90"
PFC,"344.00","3","343.75","344.00","8,261","-","-","-","-","344.00","22,538","0.78","49,949.77","-","-","486.50","329.90"
GVT&D,"4,246.90","28","4,238.10","4,241.00","4","-","-","-8.80","-0.21","4,238.10","1,825","0.77","52,369.16","-","-","5,650.00","2,523.20"
PERSISTENT,"5,477.50","50","5,520.00","5,522.00","145","-","-","44.50","0.81","5,522.00","1,368","0.76","59,837.47","-","-","6,599.00","4,244.50"
TMPV,"303.60","2,264","304.10","304.25","560","-","-","0.65","0.21","304.25","24,794","0.75","63,413.70","-","-","739.70","294.30"
MOTHERSON,"158.15","269","157.19","157.26","114","-","-","-0.96","-0.61","157.19","47,603","0.75","69,249.86","-","-","173.27","101.01"
COFORGE,"1,775.50","156","1,775.00","1,775.40","20","-","-","-0.50","-0.03","1,775.00","4,164","0.74","61,640.27","-","-","2,021.20","1,008.10"
LODHA,"1,064.80","953","1,050.00","1,050.30","126","-","-","-14.80","-1.39","1,050.00","6,719","0.71","29,052.65","-","-","1,344.95","650.80"
LAURUSLABS,"1,926.90","119","1,924.60","1,924.70","51","-","-","-2.30","-0.12","1,924.60","3,547","0.68","74,735.49","-","-","1,981.80","823.10"
SUNPHARMA,"1,835.00","4","1,838.50","1,843.60","20","-","-","8.60","0.47","1,843.60","3,320","0.61","1,94,668.70","-","-","2,046.90","1,548.00"
BDL,"1,135.00","363","1,131.40","1,132.90","425","-","-","-3.60","-0.32","1,131.40","5,360","0.61","10,398.50","-","-","1,654.00","1,086.00"
POWERINDIA,"30,790.00","82","30,290.00","30,295.00","60","-","-","-490.00","-1.59","30,300.00","185","0.56","38,435.23","-","-","38,785.00","16,111.00"
HINDZINC,"560.90","520","564.00","564.80","1,305","-","-","3.90","0.70","564.80","9,909","0.56","27,085.61","-","-","733.00","445.60"
MUTHOOTFIN,"2,722.30","148","2,725.00","2,726.00","58","-","-","3.70","0.14","2,726.00","2,030","0.55","29,152.16","-","-","4,149.50","2,671.00"
KEI,"4,500.00","648","4,484.00","4,488.50","2","-","-","-16.00","-0.36","4,484.00","1,219","0.55","27,596.99","-","-","5,899.00","3,728.70"
LUPIN,"2,063.20","1,500","2,056.00","2,056.40","163","-","-","-6.80","-0.33","2,056.40","2,570","0.53","49,804.04","-","-","2,529.50","1,900.00"
KOTAKBANK,"409.80","1","413.55","413.60","452","-","-","3.80","0.93","413.60","12,354","0.51","3,03,697.08","-","-","453.20","345.50"
IOC,"132.03","5","132.70","132.79","2,131","-","-","0.76","0.58","132.79","38,400","0.51","49,475.51","-","-","188.96","130.22"
CANBK,"122.37","200","122.75","122.80","5,595","-","-","0.43","0.35","122.80","41,357","0.51","41,156.71","-","-","162.89","111.21"
ANGELONE,"297.50","6","294.90","295.00","377","-","-","-2.50","-0.84","295.00","17,192","0.51","19,126.05","-","-","360.45","208.63"
KALYANKJIL,"604.20","142","606.90","607.00","541","-","-","2.70","0.45","606.90","8,339","0.51","23,255.17","-","-","648.95","327.05"
