"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"PREMIERENE",940.4,944.2,888.1,945,899,-4.87,3795481,3420601341.63,"08-May-2026"
"KALYANKJIL",606.9,611.8,574.4,604.2,580.9,-3.86,7484433,4390518086.46,"11-Sep-2026"
"NYKAA",336.2,338.3,323.55,336.2,325.6,-3.15,4960142,1623454476.6,"10-Nov-2022"
"SONACOMS",780.6,794.65,767,790,768,-2.78,2589871,2004352964.32,"25-Jun-2026"
"TCS",2270,2273.9,2172,2251,2188.8,-2.76,2763709,6110781695.72,"15-Jul-2026"
"LTM",4349,4370,4233,4346.6,4233,-2.61,229957,989787818.11,"25-May-2026"
"MPHASIS",2379,2393.9,2316.7,2378,2316.7,-2.58,158994,373693137.84,"08-Jul-2026"
"NAM-INDIA",1154,1158,1111.2,1153.1,1124,-2.52,1222983,1369912177.62,"25-Jun-2026"
"OFSS",11840,11920,11399,11803,11510,-2.48,245645,2850641444.4,"07-May-2026"
"WAAREEENER",2547,2565.4,2491.3,2555,2501,-2.11,624441,1568227371.81,"11-Sep-2026"
"BSE",3310,3317,3225,3310,3240,-2.11,2894042,9421177505.54,"10-Jul-2026"
"BIOCON",381,383.5,373.5,382,374.4,-1.99,1763053,665922748.63,"03-Jul-2026"
"TATAELXSI",3434,3441.9,3355.1,3440,3373,-1.95,185990,631011992.8,"10-Jun-2026"
"POWERINDIA",30300,30400,29645,30790,30200,-1.92,93574,2813413663.06,"21-Aug-2026"
"WIPRO",170.02,170.89,166.11,170,166.89,-1.83,11030339,1848684816.4,"27-Jul-2026"
"SOLARINDS",19400,19460,18480,19250,18900,-1.82,525092,9886925762.48,"28-Jul-2026"
"UPL",560.9,563.55,550.6,560.8,550.6,-1.82,3044986,1688018438.96,"17-Jul-2026"
"SUZLON",42.9,42.9,41.76,42.9,42.15,-1.75,65021879,2745223731.38,"03-Sep-2024"
"SWIGGY",274.4,277.7,269.45,275,270.5,-1.64,9369276,2545070132.64,"-"
"CAMS",713,718.25,700.15,717.35,705.7,-1.62,848314,599528953.22,"12-Aug-2026"
