"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"MCX",3020,3133.2,3006,2973,3126,5.15,3923221,12110120118.38,"02-Jan-2026"
"MUTHOOTFIN",2910,2997.8,2905.4,2859,2970,3.88,2309964,6863711531.4,"17-Apr-2026"
"GLENMARK",2264,2342,2252.1,2246.5,2332.9,3.85,552157,1276702936.97,"31-Aug-2026"
"COFORGE",1835,1888.5,1826.5,1813.1,1882,3.8,4002215,7491105904.1,"03-Aug-2026"
"PREMIERENE",1012.9,1049.6,1007.5,1002,1040,3.79,1306864,1355335585.76,"08-May-2026"
"SBICARD",626.8,654.35,626.75,623.65,647.05,3.75,5399356,3485500272.24,"11-Mar-2026"
"MOTILALOFS",946.9,989.55,942.15,942.1,973.4,3.32,2367401,2313495279.23,"30-Jan-2026"
"ABCAPITAL",399.8,410.2,398.85,396,409,3.28,5467281,2225620749.48,"16-Aug-2018"
"HINDZINC",570,575,566.75,557,573.9,3.03,6427834,3667464967.04,"30-Apr-2026"
"PERSISTENT",5572,5706,5534,5510,5674,2.98,701333,3966283581.55,"27-Jul-2026"
"BANDHANBNK",170.1,175.95,170.1,169.2,174.16,2.93,8020125,1399511812.5,"17-Aug-2026"
"RBLBANK",383,393.9,382.05,381.5,392.3,2.83,2729409,1065752332.23,"14-Aug-2026"
"HDFCAMC",2558.7,2624,2553,2551.7,2624,2.83,1149185,2979549408.75,"05-Jun-2026"
"MANAPPURAM",346.05,351.6,345,340,349.25,2.72,8327416,2896608381.44,"17-Aug-2026"
"DIXON",14510,14953,14470,14462,14850,2.68,639826,9434791018.62,"16-Sep-2025"
"CROMPTON",246,255.25,246,245.5,252,2.65,4143736,1042191041.36,"24-Jul-2026"
"LODHA",1220,1246.5,1215.5,1210,1240,2.48,952802,1178768522.32,"07-Aug-2026"
"ETERNAL",323.85,328.5,321.35,320,327.95,2.48,36661268,11989334474.04,"-"
"SWIGGY",275.1,285.4,273.75,272.4,279,2.42,18244359,5121738902.07,"-"
"HYUNDAI",2200,2233.7,2180.4,2174.5,2227,2.41,682793,1509382205.8,"05-Aug-2026"
